# 逐字稿 - revenue_analysis_20210830
# 來源網址: https://www.youtube.com/watch?v=RQUO1pd9gTw
# 轉換日期: 2026-02-07 13:19:30
# Whisper 模型: base

================================================================================


[00:00:00.000 --> 00:00:15.440]  (音樂)
[00:03:51.240 --> 00:03:57.240]  所以未必會是月晚公布的就比較不好 這一點是未必的
[00:03:57.240 --> 00:04:03.040]  好 那近期有一個很有趣的新聞 叫做校正回歸
[00:04:03.040 --> 00:04:08.040]  營收會不會校正回歸呢 不會啦 我們剛剛有跟觀眾沒有解釋過
[00:04:08.040 --> 00:04:13.640]  它都經過了內部的聖課 確認無入之後就會公布出來
[00:04:13.640 --> 00:04:22.640]  所以按照過往的經驗的話 台灣的上市貴公司大概比較密集公布期間就是5到10號之間
[00:04:22.640 --> 00:04:28.640]  這5天左右的時間是上市貴公司公布營收比較密集的期間
[00:04:28.640 --> 00:04:34.640]  接下來就要進入到我們手把手分析系列的重要的地方
[00:04:34.640 --> 00:04:44.640]  在我的畫面當中 你會看到它是一個設有表格 那我們有家的開高低收 還有這家公司的營收每月營收
[00:04:44.640 --> 00:04:53.640]  那我的單位是用百萬 那這些都可以從公開資訊關閘到得到的資料 營收你可以自己去下載
[00:04:53.640 --> 00:05:04.640]  在這個地方的軍駕 軍駕是什麼意思呢 家裏大廚都會習慣把這一檔把股票的月可以先開高低收做的平均
[00:05:04.640 --> 00:05:10.640]  然後我自己的習慣會把月可以先開高低收做的平均 這個就是軍駕的部分
[00:05:10.640 --> 00:05:17.640]  那接下來我們要怎麼樣利用營收跟軍駕呢 其實就是去算一個比例
[00:05:17.640 --> 00:05:28.640]  這個比例就是 股價營收比 還股價營收比 我自己的習慣就是把剛剛算出來的 軍駕去出於我的營收
[00:05:28.640 --> 00:05:41.640]  那我的營收 我的習慣都是用百萬當單位 再成一百 你就可以得到這個比價營收比 股價營收比 你可以看到它就是一個數字
[00:05:41.640 --> 00:05:48.640]  數字的話 我自己一般的習慣我們就可以去算一些技術的指標 比如說像是軍駕
[00:05:48.640 --> 00:05:55.640]  所以我會習慣 我也算三個軍駕出來 三月軍駕6月還有12個月
[00:05:55.640 --> 00:06:03.640]  我們現在看三月的 三個月的軍駕6個月的 六個月時間的股價營收比的軍駕
[00:06:03.640 --> 00:06:16.640]  軍駕12個月12個月的 家營收比的 軍駕喔 各位觀眾朋友 剛剛我們透過Xel手把手的跟你示範怎麼樣去計算這個股價營收比
[00:06:16.640 --> 00:06:24.640]  那現在呢 我就是把這個股價營收比算出來的比支 跟我的月K線的K線圖放在一起
[00:06:24.640 --> 00:06:31.640]  所以你可以看到 版色的線條就是我們剛剛透過Xel算出來的股價營收比
[00:06:31.640 --> 00:06:37.640]  怎麼樣去觀察這個股價營收比呢 剛剛我們也做了示範 我們可以算軍駕
[00:06:37.640 --> 00:06:45.640]  所以我們來看一下 軍駕會長什麼樣子 我這裡用的是12個月 剛剛我們已經計算過了12個月的軍駕
[00:06:45.640 --> 00:06:55.640]  再加上它原始數字的股價營收比 好 那這個地方我們就可以利用一些技術分析的概念喔
[00:06:55.640 --> 00:07:05.640]  技術分析常常會聽到 往上交叉或者是往下的死亡交叉 這個概念一樣可以拿用在這個股價營收比的地方
[00:07:05.640 --> 00:07:10.640]  所以我們來看一下 家營大廚已經有做了一個簡單的整理
[00:07:10.640 --> 00:07:17.640]  你可以看到有底色 彈子色的區塊 它這個地方就是呈現了
[00:07:17.640 --> 00:07:25.640]  往前交叉 一直到最後死亡交叉的過程 這五個月的時間 假是上漲的喔
[00:07:25.640 --> 00:07:31.640]  那同樣的這邊 這邊又產生了黃金交叉 這個地方呢 死亡交叉
[00:07:31.640 --> 00:07:38.640]  那你可以看到這一段大概六個月的時間 股價基本上是呈現給上漲的狀況
[00:07:38.640 --> 00:07:47.640]  這個彈藍色的區塊 黃金交叉很快速三個月的時間 死亡交叉點下來
[00:07:47.640 --> 00:07:55.640]  這一段時間就是在2020年3月新冠肺炎爆發的時候 這一個K線獨居在那段時間產生
[00:07:55.640 --> 00:08:02.640]  接下來又到了2020年5月份的時候 它又再度產生黃金交叉 然後在這一個地方
[00:08:02.640 --> 00:08:12.640]  2020年尾端的時候 又再度產生了 股價競汁比跟12個月的軍線的黃金交叉
[00:08:12.640 --> 00:08:19.640]  然後你可以看到一直到年底 我知道只有到年底 大概是1、2、3、4、5、6 真正中
[00:08:19.640 --> 00:08:26.640]  6個月從2020年年中 一直到2020年年底6個月的時間
[00:08:26.640 --> 00:08:31.640]  這個黃金交叉到年底 都還是呈現一個像上漲的一個趨勢
[00:08:31.640 --> 00:08:37.640]  從這個地方 觀眾朋友 你就可以了解到 營收前面我們有跟大家說
[00:08:37.640 --> 00:08:43.640]  如果它的重要性 營收跟股價之間 一定會彼此去反應
[00:08:43.640 --> 00:08:51.640]  只要你公司是獲利的是賺錢的 那投資人就會去關除這樣子的一個好公司好企業
[00:08:51.640 --> 00:08:57.640]  所以 營收一定會非常非常的重要 會去即時反應這家公司未來的一個狀況
[00:08:57.640 --> 00:09:02.640]  我們可以透過股價營收比 去做一個計算
[00:09:02.640 --> 00:09:06.640]  你可以像小姐大家書在5天當中的示範 做3個月
[00:09:06.640 --> 00:09:12.640]  6月12個月等等之類的一個軍線 然後把它畫成圖就可以去做觀察
[00:09:12.640 --> 00:09:17.640]  或者是你也可以運用其他的一些指標的一個方式
[00:09:17.640 --> 00:09:20.640]  因為股價的收比本身就是一個數字 這樣它是數字
[00:09:20.640 --> 00:09:24.640]  你就可以把它套用到其他的指標當中
[00:09:24.640 --> 00:09:28.640]  我們就可以創造你自己比較習慣運用的一個方式
[00:09:28.640 --> 00:09:32.640]  這是月K線搭箱它的月營收
[00:09:32.640 --> 00:09:37.640]  也許觀眾朋友會覺得說 這樣子的一個做法是不是速度上會比較慢
[00:09:37.640 --> 00:09:41.640]  以家就大家說個人的角度來看的話 運不會啦
[00:09:41.640 --> 00:09:45.640]  因為前面我們說過 最慢10號會公布營收
[00:09:45.640 --> 00:09:49.640]  你再去用它上個月的股價做了計算
[00:09:49.640 --> 00:09:53.640]  頂多就是晚10天而已 晚了10天
[00:09:53.640 --> 00:09:56.640]  那你就必須知道它受到先天的限制
[00:09:56.640 --> 00:09:59.640]  所以它可能不太適合用來做短線的交易
[00:09:59.640 --> 00:10:05.640]  它比較用來幫助你去判斷一個比較中長期的趨勢
[00:10:05.640 --> 00:10:09.640]  這個股價營收比原則上比較適合你做
[00:10:09.640 --> 00:10:12.640]  中長線的投資上面的判斷
[00:10:12.640 --> 00:10:15.640]  你知道每個月拿到它最新的營收
[00:10:15.640 --> 00:10:21.640]  然後再去跟月K線做一個對比這樣子的話對於你長線的判斷
[00:10:21.640 --> 00:10:23.640]  會比較有幫助
[00:10:23.640 --> 00:10:25.640]  今天的影片就到這個地方
[00:10:25.640 --> 00:10:29.640]  觀眾感謝觀眾朋友的收看跟人奶
[00:10:29.640 --> 00:10:31.640]  樓上度稍微低了一點點
[00:10:31.640 --> 00:10:35.640]  看這個同影片就回想以前在攝影棚的時候
[00:10:35.640 --> 00:10:37.640]  它拍起來比較順
[00:10:37.640 --> 00:10:39.640]  拿現在再加的話就比較沒有辦法
[00:10:39.640 --> 00:10:41.640]  所以觀眾朋友如果喜歡家族辣出的影片的話
[00:10:41.640 --> 00:10:45.640]  你可以再去看之前的像是長物質標
[00:10:45.640 --> 00:10:47.640]  或者是K線化妝署
[00:10:47.640 --> 00:10:49.640]  裡面都是屬於相同的概念手
[00:10:49.640 --> 00:10:53.640]  的分析和你介紹一些運用的技巧
[00:10:53.640 --> 00:10:55.640]  最後再感謝觀眾朋友收看我的影片
[00:10:55.640 --> 00:10:57.640]  掰掰
