# 逐字稿 - moneyline_20260227_part1
# 來源網址: https://www.youtube.com/watch?v=eILpZ7DIAUg
# 轉換日期: 2026-02-27 20:29:03
# Whisper 模型: base

================================================================================


[00:00:00.000 --> 00:00:19.420]  歡迎收看前線百分百個表晚安 我是劉柱華
[00:02:15.200 --> 00:02:18.200]  當然今天最有戲的在顧慌
[00:02:18.200 --> 00:02:21.200]  姓華 姓華在今天一開盤
[00:02:21.200 --> 00:02:27.200]  直接跳空扣關的是一萬零兩百七十五塊錢
[00:02:27.200 --> 00:02:31.200]  台股前所未有一張股票要一千萬
[00:02:31.200 --> 00:02:34.200]  今天的姓華引爆了整個千金股
[00:02:34.200 --> 00:02:36.200]  湊起了三十七千金
[00:02:36.200 --> 00:02:39.200]  其中有六檔大紅燈籠高掛掛
[00:02:39.200 --> 00:02:40.200]  是高掛漲廳的
[00:02:40.200 --> 00:02:42.200]  今天整個盤市輸熱鬧
[00:02:42.200 --> 00:02:44.200]  因為七十多檔的漲廳
[00:02:44.200 --> 00:02:46.200]  所以大盤雖然看起來只小長
[00:02:46.200 --> 00:02:49.200]  今天是從往下跌了將近四百點
[00:02:49.200 --> 00:02:52.200]  讓談今天收三五四一四
[00:02:52.200 --> 00:02:54.200]  比昨天只有多一點
[00:02:54.200 --> 00:02:57.200]  但是照樣創立史新高
[00:02:57.200 --> 00:02:58.200]  創高的還有塵膠量
[00:02:58.200 --> 00:03:00.200]  昨天正式的破罩
[00:03:00.200 --> 00:03:02.200]  今天再往上挺進
[00:03:02.200 --> 00:03:05.200]  今天塵膠量有1.16
[00:03:05.200 --> 00:03:07.200]  台股新時代來了
[00:03:07.200 --> 00:03:09.200]  到底誰把今天的大盤
[00:03:09.200 --> 00:03:10.200]  從跌了將近四百點
[00:03:10.200 --> 00:03:12.200]  印神拉了四百點上來
[00:03:12.200 --> 00:03:14.200]  三大把人都不是他們
[00:03:14.200 --> 00:03:17.200]  外資賣 投信賣 自於商也賣
[00:03:17.200 --> 00:03:19.200]  到底誰是神秘買家
[00:03:19.200 --> 00:03:21.200]  等一下我們一起來追
[00:03:21.200 --> 00:03:23.200]  大盤在今天小長
[00:03:23.200 --> 00:03:24.200]  但是貴買的指數
[00:03:24.200 --> 00:03:26.200]  在今天大漲了百分之1.1
[00:03:26.200 --> 00:03:28.200]  多頭健康輪動
[00:03:28.200 --> 00:03:30.200]  但就擔心第一個
[00:03:30.200 --> 00:03:31.200]  灰打的財報
[00:03:31.200 --> 00:03:34.200]  昨天盤後股價震盪劇烈
[00:03:34.200 --> 00:03:36.200]  夏禮拜怎麼反映在台股
[00:03:36.200 --> 00:03:37.200]  因為明天我們收視了
[00:03:37.200 --> 00:03:38.200]  第二個是
[00:03:38.200 --> 00:03:40.200]  夏禮拜我還蠻有緣銷節
[00:03:40.200 --> 00:03:42.200]  在地面會變盤嗎
[00:03:42.200 --> 00:03:44.200]  這個問題先來請到四五來比
[00:03:44.200 --> 00:03:45.200]  首先見大哥
[00:03:45.200 --> 00:03:48.200]  修學縣一個月長的3350電
[00:03:48.200 --> 00:03:50.200]  什麼概念一成
[00:03:50.200 --> 00:03:52.200]  二月份交易時間比較短
[00:03:52.200 --> 00:03:54.200]  我們已經長了百分之10了
[00:03:54.200 --> 00:03:55.200]  夏禮拜進入原銷節
[00:03:55.200 --> 00:03:56.200]  會不會變盤
[00:03:56.200 --> 00:03:58.200]  我想應該還不至於
[00:03:58.200 --> 00:04:00.200]  不過這個很多的變數
[00:04:00.200 --> 00:04:01.200]  我們還是要小心
[00:04:01.200 --> 00:04:04.200]  結集的大家去關注了一個關鍵字
[00:04:04.200 --> 00:04:07.200]  第一個川普美元變多空
[00:04:07.200 --> 00:04:09.200]  川普美元變多空
[00:04:09.200 --> 00:04:10.200]  因為川普跟美元
[00:04:10.200 --> 00:04:12.200]  會影響到整個多空的變化
[00:04:12.200 --> 00:04:13.200]  第一個大家川普
[00:04:13.200 --> 00:04:16.200]  會不會有新的新招出來
[00:04:16.200 --> 00:04:19.200]  影響到全球的政經的不穩定
[00:04:19.200 --> 00:04:20.200]  這個蠻重要
[00:04:20.200 --> 00:04:22.200]  包括跟伊朗之間的談判等等
[00:04:22.200 --> 00:04:24.200]  那美元才是一個重點
[00:04:24.200 --> 00:04:26.200]  我想大家最近可以看到
[00:04:26.200 --> 00:04:27.200]  美務武士氣的沒有很強
[00:04:27.200 --> 00:04:28.200]  是會廢伴以外
[00:04:28.200 --> 00:04:30.200]  到求SNP500
[00:04:30.200 --> 00:04:32.200]  這個還有這個
[00:04:32.200 --> 00:04:34.200]  那大哥其實都蠻弱的
[00:04:34.200 --> 00:04:36.200]  最主要就是美元弱
[00:04:36.200 --> 00:04:37.200]  明白嗎
[00:04:37.200 --> 00:04:38.200]  美國非常的弱
[00:04:38.200 --> 00:04:39.200]  錢就往外跑
[00:04:39.200 --> 00:04:40.200]  往外跑
[00:04:40.200 --> 00:04:41.200]  台灣日本韓國嗎
[00:04:41.200 --> 00:04:43.200]  整個東亞的股市
[00:04:43.200 --> 00:04:44.200]  為什麼那麼強
[00:04:44.200 --> 00:04:45.200]  錢就進來嗎
[00:04:45.200 --> 00:04:47.200]  所以這台是最重要的原因
[00:04:47.200 --> 00:04:49.200]  所以美元萬一哪一天轉牆
[00:04:49.200 --> 00:04:51.200]  你要小心被收割
[00:04:51.200 --> 00:04:54.200]  所以美元的部分是一個焦點
[00:04:54.200 --> 00:04:56.200]  第二個我們怎麼選股
[00:04:56.200 --> 00:04:58.200]  我想籌碼未接
[00:04:58.200 --> 00:04:59.200]  本一筆
[00:04:59.200 --> 00:05:01.200]  當然籌碼
[00:05:01.200 --> 00:05:02.200]  有內外資主力的部分
[00:05:02.200 --> 00:05:04.200]  大家可能要特別去留意
[00:05:04.200 --> 00:05:05.200]  未接
[00:05:05.200 --> 00:05:08.200]  尤其是二月份很多股票都創新高
[00:05:08.200 --> 00:05:09.200]  飆高了
[00:05:09.200 --> 00:05:10.200]  你可能要稍微小心一點
[00:05:10.200 --> 00:05:12.200]  長多少個股進入三月份
[00:05:12.200 --> 00:05:13.200]  我今天看了一下
[00:05:13.200 --> 00:05:14.200]  我今天會帶來
[00:05:14.200 --> 00:05:16.200]  你看看那些本一筆
[00:05:16.200 --> 00:05:18.200]  已經高到下人了
[00:05:18.200 --> 00:05:20.200]  所以可能進入三月份
[00:05:20.200 --> 00:05:21.200]  他可能會休息
[00:05:21.200 --> 00:05:23.200]  那剛好要公布
[00:05:23.200 --> 00:05:24.200]  這二月份的營收
[00:05:24.200 --> 00:05:26.200]  進入三月也有二月的營收
[00:05:26.200 --> 00:05:27.200]  還有的去年的財報
[00:05:27.200 --> 00:05:29.200]  都會入去公布
[00:05:29.200 --> 00:05:31.200]  所以本一筆很重要
[00:05:31.200 --> 00:05:32.200]  所以我才說
[00:05:32.200 --> 00:05:33.200]  籌碼未接
[00:05:33.200 --> 00:05:34.200]  本一筆
[00:05:34.200 --> 00:05:36.200]  應該是操作了一個策略
[00:05:36.200 --> 00:05:37.200]  OK
[00:05:37.200 --> 00:05:38.200]  川普美元變多空
[00:05:38.200 --> 00:05:40.200]  然後籌碼未接
[00:05:40.200 --> 00:05:41.200]  本一筆
[00:05:41.200 --> 00:05:42.200]  十二字絕
[00:05:42.200 --> 00:05:44.200]  我們也來個幾字絕
[00:05:44.200 --> 00:05:45.200]  好了
[00:05:45.200 --> 00:05:46.200]  你覺得下個禮拜
[00:05:46.200 --> 00:05:47.200]  原笑會被變盤
[00:05:47.200 --> 00:05:48.200]  原笑會變胖
[00:05:48.200 --> 00:05:49.200]  原笑會變胖
[00:05:49.200 --> 00:05:50.200]  原笑會變
[00:05:50.200 --> 00:05:51.200]  湯元少吃一點
[00:05:51.200 --> 00:05:53.200]  那個體重會增加
[00:05:53.200 --> 00:05:55.200]  剛過完年大吃大喝之後
[00:05:55.200 --> 00:05:56.200]  然後那個
[00:05:56.200 --> 00:05:57.200]  原笑節要去吃
[00:05:57.200 --> 00:05:59.200]  但是回到這個行前部分
[00:05:59.200 --> 00:06:00.200]  我是覺得
[00:06:00.200 --> 00:06:01.200]  我們在過年前的時候
[00:06:01.200 --> 00:06:02.200]  那個特別節目
[00:06:02.200 --> 00:06:03.200]  當時我們有跟大家談到
[00:06:03.200 --> 00:06:04.200]  對
[00:06:04.200 --> 00:06:05.200]  當時我們對於第一季的
[00:06:05.200 --> 00:06:08.200]  主結叫做一碼平穿
[00:06:08.200 --> 00:06:08.200]  整體來講
[00:06:08.200 --> 00:06:09.200]  我認為第一季
[00:06:09.200 --> 00:06:10.200]  其實不會有
[00:06:10.200 --> 00:06:11.200]  太大反轉
[00:06:11.200 --> 00:06:12.200]  這樣的一個疑慮
[00:06:12.200 --> 00:06:13.200]  但我如何
[00:06:13.200 --> 00:06:14.200]  你同1月份長
[00:06:14.200 --> 00:06:15.200]  3,112月份長
[00:06:15.200 --> 00:06:16.200]  3,350
[00:06:16.200 --> 00:06:17.200]  兩個月長的
[00:06:17.200 --> 00:06:19.200]  6,450店
[00:06:19.200 --> 00:06:20.200]  說真的
[00:06:20.200 --> 00:06:21.200]  其實在整個三月份
[00:06:21.200 --> 00:06:22.200]  我認為空間上面
[00:06:22.200 --> 00:06:23.200]  可能會壓縮
[00:06:23.200 --> 00:06:24.200]  但不至於出現
[00:06:24.200 --> 00:06:26.200]  比較明顯的反轉
[00:06:26.200 --> 00:06:27.200]  真正如果我會出現
[00:06:27.200 --> 00:06:28.200]  比較反轉的時間點
[00:06:28.200 --> 00:06:28.200]  我認為
[00:06:28.200 --> 00:06:29.200]  應該會是
[00:06:29.200 --> 00:06:30.200]  三月份的
[00:06:30.200 --> 00:06:31.200]  剛剛建議大家談談
[00:06:31.200 --> 00:06:32.200]  就是年報
[00:06:32.200 --> 00:06:33.200]  年報密集公布
[00:06:33.200 --> 00:06:35.200]  那在年報公布完之後
[00:06:35.200 --> 00:06:37.200]  然後靠近親民姐的時候
[00:06:37.200 --> 00:06:38.200]  因為那個時候
[00:06:38.200 --> 00:06:39.200]  其實是一個
[00:06:39.200 --> 00:06:40.200]  傳統產業的一個彈劑
[00:06:40.200 --> 00:06:41.200]  所以大概三月底
[00:06:41.200 --> 00:06:42.200]  是月初
[00:06:42.200 --> 00:06:43.200]  三月底是月初
[00:06:43.200 --> 00:06:44.200]  所以當時我們是告訴大家
[00:06:44.200 --> 00:06:45.200]  第二季你要記得
[00:06:45.200 --> 00:06:46.200]  旋來樂
[00:06:46.200 --> 00:06:47.200]  對
[00:06:47.200 --> 00:06:48.200]  所以這個部分
[00:06:48.200 --> 00:06:49.200]  其實當然我覺得
[00:06:49.200 --> 00:06:50.200]  之前我們跟大家說
[00:06:50.200 --> 00:06:51.200]  談到每一季的操作重點
[00:06:51.200 --> 00:06:52.200]  大家可能要稍微回顧一下
[00:06:52.200 --> 00:06:53.200]  那你說
[00:06:53.200 --> 00:06:54.200]  現在已經長了六千多點
[00:06:54.200 --> 00:06:55.200]  我們到底應該怎麼做
[00:06:55.200 --> 00:06:56.200]  今天我們的節目
[00:06:56.200 --> 00:06:57.200]  我們會帶這個節目
[00:06:57.200 --> 00:06:58.200]  當中告訴大家
[00:06:58.200 --> 00:06:59.200]  如果因為
[00:06:59.200 --> 00:07:00.200]  如果說你這個時候
[00:07:00.200 --> 00:07:01.200]  要找那種
[00:07:01.200 --> 00:07:02.200]  相對第一位姐
[00:07:02.200 --> 00:07:03.200]  說真的其實不太容易
[00:07:03.200 --> 00:07:04.200]  大多數會長的
[00:07:04.200 --> 00:07:05.200]  其實大家都已經長過了
[00:07:05.200 --> 00:07:06.200]  所以我們要告訴大家
[00:07:06.200 --> 00:07:07.200]  你如何包括了
[00:07:07.200 --> 00:07:08.200]  像是財報
[00:07:08.200 --> 00:07:09.200]  包括了營收
[00:07:09.200 --> 00:07:10.200]  去蹲點那個
[00:07:10.200 --> 00:07:12.200]  隔日衝交易的一個方式
[00:07:12.200 --> 00:07:13.200]  今天我們會來告訴大家
[00:07:13.200 --> 00:07:14.200]  太精采了
[00:07:14.200 --> 00:07:17.200]  好 三月多頭還有可用之兵
[00:07:17.200 --> 00:07:18.200]  那美國股市呢
[00:07:18.200 --> 00:07:19.200]  就像剛剛建議大家講
[00:07:19.200 --> 00:07:21.200]  美股其實沒有台股強
[00:07:21.200 --> 00:07:22.200]  這一波
[00:07:22.200 --> 00:07:23.200]  台股尤其亞股伊瑪當鮮
[00:07:23.200 --> 00:07:24.200]  三月的行情
[00:07:24.200 --> 00:07:25.200]  來 支援怎麼看
[00:07:25.200 --> 00:07:26.200]  好 我們一樣
[00:07:26.200 --> 00:07:27.200]  我給八個字
[00:07:27.200 --> 00:07:29.200]  萬馬奔騰如旅波兵
[00:07:29.200 --> 00:07:31.200]  萬馬奔騰但是
[00:07:31.200 --> 00:07:32.200]  如旅波兵
[00:07:32.200 --> 00:07:33.200]  為什麼就說
[00:07:33.200 --> 00:07:34.200]  現在來講
[00:07:34.200 --> 00:07:35.200]  其實回應到
[00:07:35.200 --> 00:07:36.200]  剛才很講了
[00:07:36.200 --> 00:07:37.200]  現在資金有外移的一個效果
[00:07:37.200 --> 00:07:39.200]  其實我看全世界股市
[00:07:39.200 --> 00:07:40.200]  今年以來最強的
[00:07:40.200 --> 00:07:41.200]  新興市場
[00:07:41.200 --> 00:07:44.200]  拉美 巴西
[00:07:44.200 --> 00:07:46.200]  亞洲的話就是北亞市場
[00:07:46.200 --> 00:07:47.200]  有特別在北亞
[00:07:47.200 --> 00:07:48.200]  這邊的話
[00:07:48.200 --> 00:07:49.200]  形成一個鐵三角
[00:07:49.200 --> 00:07:50.200]  就是日台寒
[00:07:50.200 --> 00:07:51.200]  那其實美國股市
[00:07:51.200 --> 00:07:53.200]  真的今年有點弱
[00:07:53.200 --> 00:07:54.200]  你看那些科技股啊
[00:07:54.200 --> 00:07:55.200]  這麼
[00:07:55.200 --> 00:07:56.200]  美股七熊
[00:07:56.200 --> 00:07:57.200]  真的弱到一個不行
[00:07:57.200 --> 00:07:59.200]  所以整個結果上面來講
[00:07:59.200 --> 00:08:02.200]  是出現一個比較大的一個變化
[00:08:02.200 --> 00:08:03.200]  那為什麼第一句是
[00:08:03.200 --> 00:08:04.200]  萬馬奔騰
[00:08:04.200 --> 00:08:05.200]  因為我覺得這三個
[00:08:05.200 --> 00:08:06.200]  北亞的股市
[00:08:06.200 --> 00:08:08.200]  都還在試頭上面
[00:08:08.200 --> 00:08:09.200]  那麼主要就是AI的帶動
[00:08:09.200 --> 00:08:11.200]  特別是在整個硬體
[00:08:11.200 --> 00:08:12.200]  或者是在記憶體的
[00:08:12.200 --> 00:08:13.200]  整個週期裡面
[00:08:13.200 --> 00:08:15.200]  那我們今天會講到
[00:08:15.200 --> 00:08:17.200]  一些像是在報告裡面這些
[00:08:17.200 --> 00:08:19.200]  華爾街大靠
[00:08:19.200 --> 00:08:21.200]  其實都非常非常的買單
[00:08:21.200 --> 00:08:22.200]  等一下我們可以
[00:08:22.200 --> 00:08:23.200]  去看一下
[00:08:23.200 --> 00:08:24.200]  所以我認為
[00:08:24.200 --> 00:08:26.200]  就是海股應該還有後世客氣
[00:08:26.200 --> 00:08:28.200]  那為什麼要如旅波兵呢
[00:08:28.200 --> 00:08:31.200]  你想想看萬馬奔騰
[00:08:31.200 --> 00:08:33.200]  奔遲在整個兵上
[00:08:33.200 --> 00:08:34.200]  你會怕什麼
[00:08:34.200 --> 00:08:36.200]  萬一兵不夠厚的話
[00:08:36.200 --> 00:08:37.200]  對不對
[00:08:37.200 --> 00:08:38.200]  所以要小心
[00:08:38.200 --> 00:08:39.200]  因為真的長多了
[00:08:39.200 --> 00:08:40.200]  你就要留意到
[00:08:40.200 --> 00:08:42.200]  剛前所講的
[00:08:42.200 --> 00:08:43.200]  價值性的問題
[00:08:43.200 --> 00:08:44.200]  是不是有一點
[00:08:44.200 --> 00:08:46.200]  孤子偏高的這樣一個問題在
[00:08:46.200 --> 00:08:48.200]  任何資產都是一樣長多了
[00:08:48.200 --> 00:08:49.200]  一定會有一個
[00:08:49.200 --> 00:08:50.200]  比較明顯的回答
[00:08:50.200 --> 00:08:51.200]  特別是到一個
[00:08:51.200 --> 00:08:53.200]  比較不合理的價格的時候
[00:08:53.200 --> 00:08:54.200]  所以我覺得就是
[00:08:54.200 --> 00:08:55.200]  有多有空
[00:08:55.200 --> 00:08:57.200]  萬馬奔騰告訴大家
[00:08:57.200 --> 00:08:59.200]  還有後世客氣
[00:08:59.200 --> 00:09:00.200]  那如果說以一整年的
[00:09:00.200 --> 00:09:01.200]  傑西上面來講的話
[00:09:01.200 --> 00:09:03.200]  如果我們從過去歷史
[00:09:03.200 --> 00:09:04.200]  經驗來看的話
[00:09:04.200 --> 00:09:06.200]  大概兩個傑氣比較明顯
[00:09:06.200 --> 00:09:07.200]  清明跟中秋
[00:09:07.200 --> 00:09:09.200]  所以我覺得元蕭應該還好
[00:09:09.200 --> 00:09:10.200]  好 但是今天
[00:09:10.200 --> 00:09:12.200]  大家在看台積電
[00:09:12.200 --> 00:09:13.200]  因為怎麼反應
[00:09:13.200 --> 00:09:14.200]  灰打的財報
[00:09:14.200 --> 00:09:16.200]  灰打財報
[00:09:16.200 --> 00:09:17.200]  昨天反應在盤中
[00:09:17.200 --> 00:09:19.200]  盤中沒有什麼反應
[00:09:19.200 --> 00:09:21.200]  因為盤中工作數字之後
[00:09:21.200 --> 00:09:22.200]  修盤慢慢的
[00:09:22.200 --> 00:09:24.200]  法說會開始進行
[00:09:24.200 --> 00:09:25.200]  這股價昨天反應
[00:09:25.200 --> 00:09:26.200]  非常的詭異
[00:09:26.200 --> 00:09:28.200]  昨天盤中是修長的
[00:09:28.200 --> 00:09:29.200]  結果隨著盤後
[00:09:29.200 --> 00:09:30.200]  法學會的進行
[00:09:30.200 --> 00:09:32.200]  本來盤後還大長了
[00:09:32.200 --> 00:09:34.200]  將近百分之五
[00:09:34.200 --> 00:09:35.200]  怎麼法學會進行
[00:09:35.200 --> 00:09:36.200]  這進行著
[00:09:36.200 --> 00:09:39.200]  股價做從大長的百分之五
[00:09:39.200 --> 00:09:40.200]  然後分黑
[00:09:40.200 --> 00:09:42.200]  監老師我們請你上台來
[00:09:42.200 --> 00:09:43.200]  昨天法學會
[00:09:43.200 --> 00:09:45.200]  到底華人熏長了什麼
[00:09:45.200 --> 00:09:47.200]  到底財務長長了什麼
[00:09:47.200 --> 00:09:48.200]  為什麼
[00:09:48.200 --> 00:09:49.200]  從大長百分之五
[00:09:49.200 --> 00:09:50.200]  然後販黑
[00:09:50.200 --> 00:09:52.200]  好的 我想邊開
[00:09:52.200 --> 00:09:53.200]  邊走低
[00:09:53.200 --> 00:09:54.200]  其實一開始的
[00:09:54.200 --> 00:09:56.200]  升級當然確實是非常好
[00:09:56.200 --> 00:09:58.200]  也比預期好的很多
[00:09:58.200 --> 00:09:59.200]  OK看一下
[00:09:59.200 --> 00:10:01.200]  我想上一年度的
[00:10:01.200 --> 00:10:03.200]  一個財政的第四屆營收
[00:10:03.200 --> 00:10:04.200]  原本預估是
[00:10:04.200 --> 00:10:06.200]  市場上預估662億美金
[00:10:06.200 --> 00:10:08.200]  結果實際的數字
[00:10:08.200 --> 00:10:10.200]  680億美金
[00:10:10.200 --> 00:10:13.200]  年增73%比預期好很多
[00:10:13.200 --> 00:10:15.200]  然後資料中心
[00:10:15.200 --> 00:10:18.200]  原本預估是606.9億美金
[00:10:18.200 --> 00:10:20.200]  結果數字是623億美金
[00:10:20.200 --> 00:10:21.200]  也是比預期好
[00:10:21.200 --> 00:10:24.200]  EPS1.62美金調整後
[00:10:24.200 --> 00:10:26.200]  然後原本預估是1.53億
[00:10:26.200 --> 00:10:27.200]  過去的數字都不錯
[00:10:27.200 --> 00:10:31.200]  財政營收780億美金
[00:10:31.200 --> 00:10:33.200]  本來估726億
[00:10:33.200 --> 00:10:36.200]  對 上上預估比好很多
[00:10:36.200 --> 00:10:39.200]  但是大家就是不滿足
[00:10:39.200 --> 00:10:41.200]  當然為什麼這樣講
[00:10:41.200 --> 00:10:42.200]  這個可能有更好
[00:10:42.200 --> 00:10:43.200]  更大的驚喜
[00:10:43.200 --> 00:10:44.200]  才會讓說
[00:10:44.200 --> 00:10:46.200]  歸大股價才能往上公
[00:10:46.200 --> 00:10:47.200]  不過不管如何
[00:10:47.200 --> 00:10:48.200]  由於預期
[00:10:48.200 --> 00:10:50.200]  任何一項都一樣
[00:10:50.200 --> 00:10:52.200]  當然這一次財政裡面
[00:10:52.200 --> 00:10:55.200]  沒有來自中國資料中心的因素
[00:10:55.200 --> 00:10:56.200]  因為目前都還沒有
[00:10:56.200 --> 00:10:57.200]  把晶片賣出去
[00:10:57.200 --> 00:11:00.200]  對 所以基本上它就先不一樣
[00:11:00.200 --> 00:11:01.200]  因為中國政策怎麼樣
[00:11:01.200 --> 00:11:02.200]  也不是很清楚
[00:11:02.200 --> 00:11:04.200]  但是重點來了
[00:11:04.200 --> 00:11:05.200]  全部久
[00:11:05.200 --> 00:11:06.200]  別講說
[00:11:06.200 --> 00:11:07.200]  四大科技劇頭
[00:11:07.200 --> 00:11:09.200]  今年合計的資本支出
[00:11:09.200 --> 00:11:10.200]  畢竟7000億美金
[00:11:10.200 --> 00:11:11.200]  也比本來市場
[00:11:11.200 --> 00:11:13.200]  預估是6000多美金
[00:11:13.200 --> 00:11:14.200]  對 還要多
[00:11:14.200 --> 00:11:15.200]  對 所以還要多
[00:11:15.200 --> 00:11:16.200]  所以代表說
[00:11:16.200 --> 00:11:17.200]  既然是這樣
[00:11:17.200 --> 00:11:20.200]  回答也好 MDA
[00:11:20.200 --> 00:11:21.200]  因為成績單都不會太差
[00:11:21.200 --> 00:11:23.200]  所以才有這個財政
[00:11:23.200 --> 00:11:24.200]  但是為什麼股價底
[00:11:24.200 --> 00:11:26.200]  為什麼股價反而還盤後
[00:11:26.200 --> 00:11:28.200]  當然前面股價先長
[00:11:28.200 --> 00:11:30.200]  先講過去各方面
[00:11:30.200 --> 00:11:32.200]  結果在財務長
[00:11:32.200 --> 00:11:34.200]  各方面在討論的過程當中
[00:11:34.200 --> 00:11:35.200]  在法說進行當中
[00:11:35.200 --> 00:11:37.200]  股價就越走越低
[00:11:37.200 --> 00:11:38.200]  第一個
[00:11:38.200 --> 00:11:40.200]  全球的記憶體短缺
[00:11:40.200 --> 00:11:41.200]  擔心這個
[00:11:41.200 --> 00:11:43.200]  其實很多產業都怕這個
[00:11:43.200 --> 00:11:44.200]  連電子下游
[00:11:44.200 --> 00:11:47.200]  應該手機這個PCNB
[00:11:47.200 --> 00:11:48.200]  也因為缺貨
[00:11:48.200 --> 00:11:50.200]  可能長價我成本都拉高了
[00:11:50.200 --> 00:11:53.200]  毛利獲利都被影響到
[00:11:53.200 --> 00:11:54.200]  所以這個會不會影響到
[00:11:54.200 --> 00:11:55.200]  AI伺服器建制
[00:11:55.200 --> 00:11:57.200]  因為缺馬
[00:11:57.200 --> 00:11:58.200]  你看看美光
[00:11:58.200 --> 00:11:59.200]  海利市都講
[00:11:59.200 --> 00:12:02.200]  我產能經典同胞被包走了
[00:12:02.200 --> 00:12:03.200]  沒有了完壽
[00:12:03.200 --> 00:12:04.200]  今現在庫存
[00:12:04.200 --> 00:12:06.200]  究竟是四個禮拜
[00:12:06.200 --> 00:12:07.200]  對 一個月
[00:12:07.200 --> 00:12:09.200]  所以呢這個短缺的情況之下
[00:12:09.200 --> 00:12:10.200]  短期間
[00:12:10.200 --> 00:12:12.200]  你說要改善也沒那麼快
[00:12:12.200 --> 00:12:14.200]  這是第一個問題
[00:12:14.200 --> 00:12:15.200]  會影響到
[00:12:15.200 --> 00:12:15.200]  你沒有零件
[00:12:15.200 --> 00:12:16.200]  怎麼去生產
[00:12:16.200 --> 00:12:17.200]  另外一個
[00:12:17.200 --> 00:12:18.200]  你還記得
[00:12:18.200 --> 00:12:19.200]  好像你已經過去
[00:12:19.200 --> 00:12:20.200]  有提到過
[00:12:20.200 --> 00:12:21.200]  我AI界面裡面
[00:12:21.200 --> 00:12:23.200]  不會會跟這個
[00:12:23.200 --> 00:12:24.200]  露病的部分
