# 逐字稿 - moneyline_20260227_part2
# 來源網址: https://www.youtube.com/watch?v=er1wzvrgI5I
# 轉換日期: 2026-02-27 20:31:40
# Whisper 模型: base

================================================================================


[00:00:00.000 --> 00:00:06.000]  台積電會不會被關 跟灰打大有關係
[00:05:47.600 --> 00:05:50.300]  因為你看他的負債60億美元
[00:05:50.300 --> 00:05:52.800]  這麼大的負債就擋在前面
[00:05:52.800 --> 00:05:54.600]  他說如果你起收購的話
[00:05:54.600 --> 00:05:58.200]  你會跟海利市一起成傳向下
[00:05:58.200 --> 00:05:59.900]  所以全部都反對
[00:05:59.900 --> 00:06:01.100]  但是沒有想到
[00:06:01.100 --> 00:06:02.900]  他們的一個職會長
[00:06:02.900 --> 00:06:04.800]  就稱之為崔太元先生
[00:06:04.800 --> 00:06:05.900]  他質疑要完成
[00:06:05.900 --> 00:06:06.900]  因為我剛剛有講
[00:06:06.900 --> 00:06:09.500]  這是由國家去做推動的
[00:06:09.500 --> 00:06:11.200]  所以他就質疑去完成
[00:06:11.200 --> 00:06:13.200]  而且他交易完成後
[00:06:13.200 --> 00:06:15.300]  這一位崔太元
[00:06:15.300 --> 00:06:17.700]  這個集團會長就很好玩的
[00:06:17.700 --> 00:06:20.400]  他馬上就因為挪幼資金
[00:06:20.400 --> 00:06:21.600]  被扶刑兩年
[00:06:21.600 --> 00:06:23.200]  那我剛剛有沒有講過一個故事
[00:06:23.200 --> 00:06:26.500]  他們是國家去叫你去收購
[00:06:26.500 --> 00:06:28.400]  SK這個快倒的一個集團
[00:06:28.400 --> 00:06:31.200]  所以你雖然因為挪幼資金而招
[00:06:31.200 --> 00:06:32.500]  扶刑兩年
[00:06:32.500 --> 00:06:34.600]  那最後有誰特色
[00:06:34.600 --> 00:06:36.400]  韓國總統特色
[00:06:36.400 --> 00:06:38.700]  也就是說當時候的實空的背景
[00:06:38.700 --> 00:06:41.200]  跟現在的實空背景是不一樣的
[00:06:41.200 --> 00:06:42.200]  當時候實空背景
[00:06:42.200 --> 00:06:44.900]  是非常的支持這些的財團
[00:06:44.900 --> 00:06:45.900]  現在實空背景
[00:06:45.900 --> 00:06:47.600]  是反對這些的財團
[00:06:47.600 --> 00:06:48.300]  不太一樣
[00:06:48.300 --> 00:06:49.100]  這是前生
[00:06:49.100 --> 00:06:50.200]  這是他的前生
[00:06:50.200 --> 00:06:52.100]  那我來看他的一個金式
[00:06:52.100 --> 00:06:53.500]  但是我們雖然看到
[00:06:53.500 --> 00:06:55.500]  他的執行長的崔太元
[00:06:55.500 --> 00:06:58.700]  他因為挪幼資金而被關的兩年
[00:06:58.700 --> 00:07:00.000]  歷經特色而出來
[00:07:00.000 --> 00:07:02.200]  但他那時候最大的貢獻是什麼
[00:07:02.200 --> 00:07:03.600]  也就是他沿用了
[00:07:03.600 --> 00:07:06.300]  海利市一個非常重要的人
[00:07:06.300 --> 00:07:09.000]  埔星域當任他的執行長
[00:07:09.000 --> 00:07:11.400]  當然埔星域已經用2019年
[00:07:11.400 --> 00:07:12.200]  他已經退休
[00:07:12.200 --> 00:07:13.500]  埔星域這一個人
[00:07:13.500 --> 00:07:16.000]  他非常得到所有的海利市
[00:07:16.000 --> 00:07:17.800]  上下員工的信賴
[00:07:17.800 --> 00:07:19.200]  人家說你只要看到
[00:07:19.200 --> 00:07:21.000]  海那個埔星域的眼睛
[00:07:21.000 --> 00:07:22.600]  你就不會說謊
[00:07:22.600 --> 00:07:23.600]  你看他的那個
[00:07:23.600 --> 00:07:25.800]  大家對於他的信任度弄得強之後
[00:07:25.800 --> 00:07:26.600]  只要看到他
[00:07:26.600 --> 00:07:27.400]  你就不會說謊
[00:07:27.400 --> 00:07:29.000]  你永遠會說真話
[00:07:29.000 --> 00:07:31.000]  所以他為海利市電令的基礎
[00:07:31.000 --> 00:07:33.500]  也就是當時候大家都沒有想到
[00:07:33.500 --> 00:07:35.600]  HBN會這麼受的歡迎
[00:07:35.600 --> 00:07:38.300]  然後他當時候就從2019年
[00:07:38.300 --> 00:07:39.500]  他退休之前
[00:07:39.500 --> 00:07:41.000]  一步一角印
[00:07:41.000 --> 00:07:42.500]  把整個海利市
[00:07:42.500 --> 00:07:44.800]  從向高階的發展性
[00:07:44.800 --> 00:07:46.400]  像我們現在還在DDR4
[00:07:46.400 --> 00:07:49.000]  人家早就往DDR5HBN
[00:07:49.000 --> 00:07:51.200]  他現在HBN已經到第四代了
[00:07:51.200 --> 00:07:53.200]  然後之前是叫HBN31
[00:07:53.200 --> 00:07:54.400]  一直往那個方向
[00:07:54.400 --> 00:07:55.700]  去做一些的推動
[00:07:55.700 --> 00:07:57.400]  所以他上任的期間
[00:07:57.400 --> 00:07:59.300]  已經會海利市電電的什麼
[00:07:59.300 --> 00:08:01.100]  往高關係
[00:08:01.100 --> 00:08:04.700]  高關係的記憶體電力的非常大的基礎
[00:08:04.700 --> 00:08:06.000]  也使得海利市
[00:08:06.000 --> 00:08:07.600]  在現在的AI的發展
[00:08:07.600 --> 00:08:09.800]  重要零組件HBN
[00:08:09.800 --> 00:08:11.000]  主要的公益角色
[00:08:11.000 --> 00:08:11.600]  我剛剛已經講了
[00:08:11.600 --> 00:08:12.500]  佔多少
[00:08:12.500 --> 00:08:13.400]  50%以上
[00:08:13.400 --> 00:08:14.600]  而且更重要的是
[00:08:14.600 --> 00:08:16.200]  他向重我們的台積電
[00:08:16.200 --> 00:08:18.200]  這就是他成功的一個運動
[00:08:18.200 --> 00:08:19.200]  等一下你們看
[00:08:19.200 --> 00:08:20.200]  所以這時候
[00:08:20.200 --> 00:08:22.600]  當時候的一個韓國的球職者
[00:08:22.600 --> 00:08:24.200]  就年輕人大學畢業的
[00:08:24.200 --> 00:08:25.900]  本來第一支院是不是到三星
[00:08:25.900 --> 00:08:27.500]  因為你到三星有房有車
[00:08:27.500 --> 00:08:28.800]  就像後來就改了
[00:08:28.800 --> 00:08:30.100]  因為海利市這幾年
[00:08:30.100 --> 00:08:31.900]  真的是一氣風發
[00:08:31.900 --> 00:08:33.800]  所以還整個韓國的年輕人
[00:08:33.800 --> 00:08:35.600]  球職者大學畢業者
[00:08:35.600 --> 00:08:37.600]  更喜歡到海利市上班
[00:08:37.600 --> 00:08:39.000]  像所有大學的學生
[00:08:39.000 --> 00:08:40.300]  以前都喜歡到三星
[00:08:40.300 --> 00:08:41.000]  他就說
[00:08:41.000 --> 00:08:43.000]  海利市是具有高度
[00:08:43.000 --> 00:08:44.700]  未來潛力的好公司
[00:08:44.700 --> 00:08:46.600]  如果被錄取的人
[00:08:46.600 --> 00:08:48.700]  我真的好羨慕
[00:08:48.700 --> 00:08:49.800]  以前都說要三星
[00:08:49.800 --> 00:08:51.900]  現在不是要海利市
[00:08:51.900 --> 00:08:53.300]  那海利市目前受到
[00:08:53.300 --> 00:08:53.800]  剛剛講的
[00:08:53.800 --> 00:08:56.700]  就是HBN稱作高寬頻的記憶體
[00:08:56.700 --> 00:08:58.700]  他現在是最成功的時候
[00:08:58.700 --> 00:08:59.700]  你看他骨架
[00:08:59.700 --> 00:09:01.600]  歷史新高難道不是最成功嗎
[00:09:01.600 --> 00:09:03.800]  我們的台積點是最成功的時刻
[00:09:03.800 --> 00:09:06.400]  而且他最成功的是什麼
[00:09:06.400 --> 00:09:08.900]  他以前永遠是小弟
[00:09:08.900 --> 00:09:10.100]  三星是大哥
[00:09:10.100 --> 00:09:11.700]  韓國的三星是大哥
[00:09:11.700 --> 00:09:14.400]  所以他擊敗了三星
[00:09:14.400 --> 00:09:16.100]  得到過半的事戰率
[00:09:16.100 --> 00:09:17.600]  而且更重要是
[00:09:17.600 --> 00:09:21.600]  他不是只有揮打單一的需求者
[00:09:21.600 --> 00:09:22.800]  他算是微軟
[00:09:22.800 --> 00:09:25.200]  他也選他為自主研發AI晶片
[00:09:25.200 --> 00:09:27.100]  因為我們說四大市場級公司
[00:09:27.100 --> 00:09:29.200]  不想完全被揮打把詞
[00:09:29.200 --> 00:09:30.500]  所以GPU用你的
[00:09:30.500 --> 00:09:32.000]  但CPU要用我的
[00:09:32.000 --> 00:09:33.400]  但是他還是要用到什麼
[00:09:33.400 --> 00:09:35.700]  他們的特殊用途的AI伺服器
[00:09:35.700 --> 00:09:37.100]  要還是要用到HBN
[00:09:37.100 --> 00:09:39.100]  他也選海利市
[00:09:39.100 --> 00:09:41.500]  所以他已經從記憶體的追隨著
[00:09:41.500 --> 00:09:42.400]  追隨誰
[00:09:42.400 --> 00:09:44.900]  三星變成我塑造
[00:09:44.900 --> 00:09:46.000]  整個HBN
[00:09:46.000 --> 00:09:47.900]  他的一個模型出來
[00:09:47.900 --> 00:09:49.900]  那客善之在未來裡面來講話
[00:09:49.900 --> 00:09:51.200]  他就講囉
[00:09:51.200 --> 00:09:53.700]  現在不要以為我只會生產HBN
[00:09:53.700 --> 00:09:56.000]  我要投資一百億美元
[00:09:56.000 --> 00:09:57.600]  我來擺脫我生產
[00:09:57.600 --> 00:09:59.200]  只會生產HBN
[00:09:59.200 --> 00:10:01.000]  生產晶片的印象
[00:10:01.000 --> 00:10:02.700]  所以他在這種過程中
[00:10:02.700 --> 00:10:04.500]  因為他國家只在創新高
[00:10:04.500 --> 00:10:06.000]  所以他變成什麼
[00:10:06.000 --> 00:10:07.700]  SK集團的搖潛素
[00:10:07.700 --> 00:10:09.200]  舉例去年第四季
[00:10:09.200 --> 00:10:11.000]  營收年增66%
[00:10:11.000 --> 00:10:12.800]  一頁率率看一下
[00:10:12.800 --> 00:10:14.300]  58%
[00:10:14.300 --> 00:10:15.800]  有沒有輸給台積電
[00:10:15.800 --> 00:10:16.400]  沒有
[00:10:16.400 --> 00:10:17.800]  台積電好
[00:10:17.800 --> 00:10:19.200]  所以我就跟大家講說
[00:10:19.200 --> 00:10:20.200]  當然台積電有更高
[00:10:20.200 --> 00:10:21.700]  台積電成有60以上
[00:10:21.700 --> 00:10:22.700]  但是你就可以發覺
[00:10:22.700 --> 00:10:25.400]  零頁率真的非常的高
[00:10:25.400 --> 00:10:27.800]  一年市值報徵340%
[00:10:27.800 --> 00:10:29.100]  還不含今天
[00:10:29.100 --> 00:10:31.600]  所以他已經達到640兆韓元
[00:10:31.600 --> 00:10:33.860]  所以海綠市SK員工
[00:10:33.860 --> 00:10:35.800]  當然會用韓市大家知道這樣
[00:10:35.800 --> 00:10:37.200]  韓國人講英文跟我們講
[00:10:37.200 --> 00:10:39.000]  正統英文不太一樣
[00:10:39.000 --> 00:10:40.200]  他說
[00:10:40.200 --> 00:10:41.800]  Go man go
[00:10:41.800 --> 00:10:43.100]  Is man
[00:10:43.100 --> 00:10:43.800]  Is
[00:10:43.800 --> 00:10:45.100]  那他說是什麼意思
[00:10:45.100 --> 00:10:46.400]  你用英文絕對翻譯不出來
[00:10:46.400 --> 00:10:47.100]  他的意思就是說
[00:10:47.100 --> 00:10:48.700]  你要走就走
[00:10:48.700 --> 00:10:50.400]  Go man go
[00:10:50.400 --> 00:10:51.600]  Is man is
[00:10:51.600 --> 00:10:52.300]  意思就是說
[00:10:52.300 --> 00:10:53.800]  你要留的人就留
[00:10:53.800 --> 00:10:54.300]  Is
[00:10:54.300 --> 00:10:55.300]  你要留在這裡就留
[00:10:55.300 --> 00:10:56.200]  你要走的
[00:10:56.200 --> 00:10:56.900]  你就滾
[00:10:56.900 --> 00:10:57.800]  簡單來說
[00:10:57.800 --> 00:10:58.800]  慢走不鬆
[00:10:58.800 --> 00:10:59.300]  對
[00:10:59.300 --> 00:11:00.200]  就是說你要走
[00:11:00.200 --> 00:11:00.800]  滾吧
[00:11:00.800 --> 00:11:02.200]  就慢走不鬆
[00:11:02.200 --> 00:11:03.600]  所以他們在這種過程中
[00:11:03.600 --> 00:11:05.300]  也代表他們這個時候
[00:11:05.300 --> 00:11:06.500]  他們的人員也好
[00:11:06.500 --> 00:11:07.300]  集團也好
[00:11:07.300 --> 00:11:09.200]  真的是一起風發的時候
[00:11:09.200 --> 00:11:11.200]  所以他現在已經零價三星
[00:11:11.200 --> 00:11:13.000]  成為很多收入大學學生
[00:11:13.000 --> 00:11:15.000]  畢業之後求職的第一志願
[00:11:15.000 --> 00:11:15.800]  你看
[00:11:15.800 --> 00:11:16.900]  因為他現在
[00:11:16.900 --> 00:11:17.700]  因為主要的原因
[00:11:17.700 --> 00:11:18.800]  還看到未來
[00:11:18.800 --> 00:11:20.500]  他投資100億美元
[00:11:20.500 --> 00:11:21.400]  所以我們要看到
[00:11:21.400 --> 00:11:22.600]  這個是他現在的
[00:11:22.600 --> 00:11:23.300]  來說到未來
[00:11:23.300 --> 00:11:24.900]  100億美元到底為什麼
[00:11:24.900 --> 00:11:26.500]  為什麼所有的人都要進去
[00:11:26.500 --> 00:11:27.500]  海利市了
[00:11:27.500 --> 00:11:29.500]  那因為海利市預備
[00:11:29.500 --> 00:11:31.400]  在他的沿海城市叫做
[00:11:31.400 --> 00:11:31.900]  衛山
[00:11:31.900 --> 00:11:34.200]  刺之七兆寒原
[00:11:34.200 --> 00:11:35.900]  建立南韓最大的
[00:11:35.900 --> 00:11:37.200]  AI資料中心
[00:11:37.200 --> 00:11:37.900]  你要看
[00:11:37.900 --> 00:11:39.400]  他就不是只有晶片工作
[00:11:39.400 --> 00:11:42.400]  他要提供半導體電力
[00:11:42.400 --> 00:11:44.900]  到人員解決
[00:11:44.900 --> 00:11:46.400]  全方位的服務
[00:11:46.400 --> 00:11:48.200]  建造最具效率的
[00:11:48.200 --> 00:11:50.400]  AI基礎建設
[00:11:50.400 --> 00:11:51.600]  我就想想看
[00:11:51.600 --> 00:11:53.300]  那三星現在才在追什麼
[00:11:53.300 --> 00:11:54.200]  HBN而已
[00:11:54.200 --> 00:11:55.600]  他已經是要做
[00:11:55.600 --> 00:11:57.200]  南韓最具效率
[00:11:57.200 --> 00:12:00.400]  最大的AI基礎建設的資料中心
[00:12:00.400 --> 00:12:01.700]  當然三星在近期
[00:12:01.700 --> 00:12:02.700]  我剛剛講二月
[00:12:02.700 --> 00:12:03.700]  也通過了
[00:12:03.700 --> 00:12:05.600]  所謂的HBN的一個認證
[00:12:05.600 --> 00:12:08.100]  也打入到AIHBN的供應鏈
[00:12:08.100 --> 00:12:10.000]  所以我們看看到這個說
[00:12:10.000 --> 00:12:12.400]  大家要瞭解到AI
[00:12:12.400 --> 00:12:14.300]  不是說AI就一定是
[00:12:14.300 --> 00:12:15.300]  要怎麼樣怎麼樣
[00:12:15.300 --> 00:12:16.000]  但是你要知道
[00:12:16.000 --> 00:12:17.200]  未來的科技產業
[00:12:17.200 --> 00:12:19.200]  雖然不一定是揮打的50
[00:12:19.200 --> 00:12:21.000]  但是一定是AI的50
[00:12:21.000 --> 00:12:21.600]  你想想看
[00:12:21.600 --> 00:12:22.400]  在這一次
[00:12:22.400 --> 00:12:23.600]  整個美國的財報
[00:12:23.600 --> 00:12:25.400]  除了我們剛剛看到還歷史
[00:12:25.400 --> 00:12:27.700]  看到了三星對於未來前景好以外
[00:12:27.700 --> 00:12:28.900]  我們隨便舉例好了
[00:12:28.900 --> 00:12:29.900]  如剛剛談到
[00:12:29.900 --> 00:12:31.400]  Rumantan跟XT
[00:12:31.400 --> 00:12:32.900]  是不是代表光通訊
[00:12:32.900 --> 00:12:34.100]  有沒有是不是代表
[00:12:34.100 --> 00:12:35.300]  一個科技革命
[00:12:35.300 --> 00:12:36.900]  在去年的1月
[00:12:36.900 --> 00:12:40.400]  去年的3月GTC大會展現出來的
[00:12:40.400 --> 00:12:41.400]  而且他們講說
[00:12:41.400 --> 00:12:43.100]  訂單到哪裡
[00:12:43.100 --> 00:12:44.100]  2030年
[00:12:44.100 --> 00:12:44.600]  對
[00:12:44.600 --> 00:12:45.800]  那另外一個
[00:12:45.800 --> 00:12:46.800]  在最近裡面
[00:12:46.800 --> 00:12:48.300]  日本在長的是什麼
[00:12:48.300 --> 00:12:49.200]  譬如說春田
[00:12:49.200 --> 00:12:50.200]  這個是被動員檢
[00:12:50.200 --> 00:12:51.300]  或是日東坊
[00:12:51.300 --> 00:12:52.600]  保健部
[00:12:52.600 --> 00:12:54.100]  在代表什麼
[00:12:54.100 --> 00:12:56.300]  高階交換器
[00:12:56.300 --> 00:12:58.300]  我們講了ABA府的部分
[00:12:58.300 --> 00:12:59.400]  所以就告訴你說
[00:12:59.400 --> 00:13:00.900]  整個在這個時間點
[00:13:00.900 --> 00:13:02.400]  AI它的一個轉換
[00:13:02.400 --> 00:13:04.600]  它或許有潮起有潮落
[00:13:04.600 --> 00:13:07.900]  但是它全部都是AI革命的中心
[00:13:07.900 --> 00:13:10.100]  重點是你要更緊它的一個腳步
[00:13:10.100 --> 00:13:11.700]  在變換的過程中
