# 逐字稿 - moneyline_20260227_part3
# 來源網址: https://www.youtube.com/watch?v=h6oc4Zi7yzw
# 轉換日期: 2026-02-27 20:33:01
# Whisper 模型: base

================================================================================


[00:00:00.000 --> 00:00:09.200]  接下來這個案例
[00:05:32.800 --> 00:05:35.300]  其實子女並沒有探視權
[00:05:35.300 --> 00:05:37.000]  也就是說今天
[00:05:37.000 --> 00:05:38.500]  爸爸說不見就不見
[00:05:38.500 --> 00:05:39.500]  那子女不能說探視
[00:05:39.500 --> 00:05:41.200]  因為不是
[00:05:41.200 --> 00:05:42.600]  不是我們今天父母親
[00:05:42.600 --> 00:05:44.300]  像我孩子十一歲
[00:05:44.300 --> 00:05:45.300]  對不對
[00:05:45.300 --> 00:05:46.100]  今天又十一歲
[00:05:46.100 --> 00:05:48.000]  我有權照顧他
[00:05:48.000 --> 00:05:49.900]  如果說今天有人夫妻離婚的時候
[00:05:49.900 --> 00:05:51.400]  另外一方可以探視這小孩
[00:05:51.400 --> 00:05:54.400]  因為那小孩子是探視的權利
[00:05:54.400 --> 00:05:55.900]  那可是都成年人
[00:05:55.900 --> 00:05:56.500]  成年人的時候
[00:05:56.500 --> 00:05:58.200]  彼此是沒有探視權的
[00:05:58.200 --> 00:05:58.900]  是沒有探視權的
[00:05:58.900 --> 00:05:59.900]  所以子女也不能說
[00:05:59.900 --> 00:06:01.800]  我有探視我爸爸的權利
[00:06:01.800 --> 00:06:02.500]  法律上沒有
[00:06:02.500 --> 00:06:03.800]  感情上絕對有
[00:06:03.800 --> 00:06:04.800]  法律上是沒有
[00:06:04.800 --> 00:06:06.200]  所以這個福理愁親
[00:06:06.200 --> 00:06:09.000]  要確認父親是不是要看他
[00:06:09.000 --> 00:06:10.000]  那有人說
[00:06:10.000 --> 00:06:11.900]  我怎麼知道父親有沒有要看我
[00:06:11.900 --> 00:06:14.300]  父親就是因為對方主格
[00:06:14.300 --> 00:06:16.000]  因為彼此之間都不太理由解
[00:06:16.000 --> 00:06:17.900]  就是說一定會說是對方主格
[00:06:17.900 --> 00:06:20.500]  所以說這樣可不可以說是加暴
[00:06:20.500 --> 00:06:22.600]  因為如果今天這樣
[00:06:22.600 --> 00:06:24.700]  如果今天我每個禮拜天
[00:06:24.700 --> 00:06:25.900]  都去看我爸爸
[00:06:25.900 --> 00:06:27.600]  都帶我去看我媽媽
[00:06:27.600 --> 00:06:28.500]  帶他出去玩
[00:06:28.500 --> 00:06:29.300]  突然有一天
[00:06:29.300 --> 00:06:30.600]  因為我們感情很好
[00:06:30.600 --> 00:06:32.500]  突然有一天我不能進去了
[00:06:32.500 --> 00:06:33.700]  說我媽媽或我爸爸
[00:06:33.700 --> 00:06:36.200]  突然說已經結婚了
[00:06:36.200 --> 00:06:36.900]  不知道組織
[00:06:36.900 --> 00:06:37.800]  那我會怎麼想
[00:06:37.800 --> 00:06:39.100]  你只能讓我痛苦
[00:06:39.100 --> 00:06:41.500]  因為我是一個習慣性
[00:06:41.500 --> 00:06:43.600]  所以小孩子居然是叫做加暴
[00:06:43.600 --> 00:06:45.700]  用加不慣了一個加暴的罪名
[00:06:45.700 --> 00:06:46.400]  對嘛 算嗎
[00:06:46.400 --> 00:06:47.400]  算是一個加暴
[00:06:47.400 --> 00:06:48.600]  等於說你今天不讓我看
[00:06:48.600 --> 00:06:49.300]  你得讓我痛苦
[00:06:49.300 --> 00:06:50.800]  你主格讓我痛苦
[00:06:50.800 --> 00:06:52.600]  所以這樣情形下
[00:06:52.600 --> 00:06:53.700]  但是這是不是加暴
[00:06:53.700 --> 00:06:55.100]  要有法院判斷
[00:06:55.100 --> 00:06:56.900]  所以如果父親想見兒子
[00:06:56.900 --> 00:06:58.400]  卻被配合惡意主場
[00:06:58.400 --> 00:06:59.600]  這個就是加暴
[00:06:59.600 --> 00:07:02.200]  所以如果說主格
[00:07:02.200 --> 00:07:03.400]  導致畸生痛苦
[00:07:03.400 --> 00:07:05.800]  就是這次是用精神的暴力
[00:07:05.800 --> 00:07:06.800]  就是加暴
[00:07:06.800 --> 00:07:08.200]  讓我們要反過來講
[00:07:08.200 --> 00:07:08.800]  因為你知道
[00:07:08.800 --> 00:07:10.400]  這個故事又反過來了
[00:07:10.400 --> 00:07:11.200]  本來這個爸爸
[00:07:11.200 --> 00:07:12.400]  人類在開戶那邊
[00:07:12.400 --> 00:07:13.900]  現在當然在哪裡
[00:07:13.900 --> 00:07:15.100]  孩子那了
[00:07:15.100 --> 00:07:16.300]  因為孩子把他搶過來了
[00:07:16.300 --> 00:07:17.000]  對不對
[00:07:17.000 --> 00:07:17.900]  所以一樣
[00:07:17.900 --> 00:07:18.900]  孩子有沒有權力
[00:07:18.900 --> 00:07:22.100]  不讓子女跟配合見面
[00:07:22.100 --> 00:07:23.100]  也沒有
[00:07:23.100 --> 00:07:24.700]  因為主導權在爸爸
[00:07:24.700 --> 00:07:26.200]  爸爸身上了
[00:07:26.200 --> 00:07:27.700]  所以爸爸有沒有決定
[00:07:27.700 --> 00:07:28.800]  選你們意思權力
[00:07:28.800 --> 00:07:30.300]  是本劍的關鍵
[00:07:30.300 --> 00:07:31.200]  了解好
[00:07:31.200 --> 00:07:32.800]  現在爸爸在孩子身上
[00:07:32.800 --> 00:07:33.700]  孩子說
[00:07:33.700 --> 00:07:35.000]  那我要來說
[00:07:35.000 --> 00:07:35.900]  爸爸跟媽媽
[00:07:35.900 --> 00:07:37.600]  他們兩個的婚姻無效
[00:07:37.600 --> 00:07:38.100]  可不可以
[00:07:38.100 --> 00:07:39.100]  因為他都沒有經過
[00:07:39.100 --> 00:07:40.100]  我們的同意
[00:07:40.100 --> 00:07:41.400]  對 我覺得這樣
[00:07:41.400 --> 00:07:42.700]  感情上好像對
[00:07:42.700 --> 00:07:43.900]  你知道我沒有經過同意
[00:07:43.900 --> 00:07:44.700]  但是我告訴你
[00:07:44.700 --> 00:07:45.900]  不對
[00:07:45.900 --> 00:07:48.100]  因為其實結婚是誰的事情
[00:07:48.100 --> 00:07:48.800]  結婚是
[00:07:48.800 --> 00:07:50.400]  我們現在都講的是
[00:07:50.400 --> 00:07:51.200]  兩個人事情有沒有
[00:07:51.200 --> 00:07:52.800]  如果孩子結婚說
[00:07:52.800 --> 00:07:53.500]  孩子說媽
[00:07:53.500 --> 00:07:54.200]  我要結婚 爸
[00:07:54.200 --> 00:07:54.900]  我要結婚了
[00:07:54.900 --> 00:07:56.100]  你可以阻止他嗎
[00:07:56.100 --> 00:07:57.000]  成年的話
[00:07:57.000 --> 00:07:58.200]  不能阻止
[00:07:58.200 --> 00:07:59.600]  阻止不了有沒有
[00:07:59.600 --> 00:08:00.300]  一樣
[00:08:00.300 --> 00:08:01.800]  所以在這情形下
[00:08:01.800 --> 00:08:02.300]  表示說
[00:08:02.300 --> 00:08:03.800]  婚姻生是兩個個人
[00:08:03.800 --> 00:08:04.800]  是情感上
[00:08:04.800 --> 00:08:06.300]  跟人格決定
[00:08:06.300 --> 00:08:07.800]  所以其實對跟第三樣講
[00:08:07.800 --> 00:08:09.100]  他是沒有關係的
[00:08:09.100 --> 00:08:10.800]  所以子女不能夠說
[00:08:10.800 --> 00:08:11.800]  他是我爸
[00:08:11.800 --> 00:08:13.800]  所以今天我要提說
[00:08:13.800 --> 00:08:15.500]  因為他是他們兩個事情
[00:08:15.500 --> 00:08:17.000]  子女是舉外人
[00:08:17.000 --> 00:08:17.900]  不能說他是我爸
[00:08:17.900 --> 00:08:18.700]  所以我認為說
[00:08:18.700 --> 00:08:20.700]  他們的婚姻是無效的
[00:08:20.700 --> 00:08:21.400]  但除非說
[00:08:21.400 --> 00:08:22.800]  他有法律上厲害關係
[00:08:22.800 --> 00:08:23.800]  目前看起來好像
[00:08:23.800 --> 00:08:25.100]  沒有法律上厲害關係
[00:08:25.100 --> 00:08:25.900]  子女不能夠
[00:08:25.900 --> 00:08:26.800]  但是如果他可以
[00:08:26.800 --> 00:08:28.800]  用爸爸推出來告
[00:08:28.800 --> 00:08:30.400]  可能因為爸爸在他這邊
[00:08:30.400 --> 00:08:31.600]  爸爸可以主張
[00:08:31.600 --> 00:08:33.300]  爸爸以他爸爸自己的民意
[00:08:33.300 --> 00:08:35.100]  來對這個
[00:08:35.100 --> 00:08:36.300]  配偶來提告
[00:08:36.300 --> 00:08:36.900]  那時候如果
[00:08:36.900 --> 00:08:37.700]  如果爸爸
[00:08:37.700 --> 00:08:38.900]  他這樣提告的時候
[00:08:38.900 --> 00:08:40.100]  法院會受理的
[00:08:40.100 --> 00:08:41.900]  也就是把院在看的時候
[00:08:41.900 --> 00:08:42.800]  他會看說
[00:08:42.800 --> 00:08:43.800]  現在爸爸在
[00:08:43.800 --> 00:08:45.400]  以爸爸民意提告的話
[00:08:45.400 --> 00:08:46.600]  那這個情形下
[00:08:46.600 --> 00:08:47.600]  法院會受理
[00:08:47.600 --> 00:08:50.300]  會看看這個婚姻是不有效
[00:08:50.300 --> 00:08:51.400]  所以今天
[00:08:51.400 --> 00:08:52.700]  今天如果這個爸爸
[00:08:52.700 --> 00:08:54.200]  在子女這邊
[00:08:54.200 --> 00:08:55.600]  他認為說他要提告
[00:08:55.600 --> 00:08:56.800]  他也可以提告
[00:08:56.800 --> 00:08:58.600]  那如果今天如果爸爸沒有提告
[00:08:58.600 --> 00:08:59.800]  或者爸爸是
[00:08:59.800 --> 00:09:01.100]  是一直都在
[00:09:01.100 --> 00:09:03.300]  這個配偶那邊的情形下
[00:09:03.300 --> 00:09:04.800]  那子女沒辦法提告的時候
[00:09:04.800 --> 00:09:06.800]  那子女什麼時候才能提告呢
[00:09:06.800 --> 00:09:09.300]  是在影響他子女氣成權
[00:09:09.300 --> 00:09:10.900]  什麼叫影響自己借人權
[00:09:10.900 --> 00:09:13.000]  就是父親人生畢業之後
[00:09:13.000 --> 00:09:14.800]  子女就成為繼承人
[00:09:14.800 --> 00:09:16.200]  這時候他就有法律上
[00:09:16.200 --> 00:09:18.000]  厲害關係了
[00:09:18.000 --> 00:09:19.300]  也就是今天這個案例
[00:09:19.300 --> 00:09:20.300]  如果說
[00:09:20.300 --> 00:09:22.600]  他們在這個年瑞的爸爸
[00:09:22.600 --> 00:09:23.800]  不再說子女才可以
[00:09:23.800 --> 00:09:24.800]  他自己民意說
[00:09:24.800 --> 00:09:26.800]  因為我有沒有
[00:09:26.800 --> 00:09:27.500]  爸爸有沒有配偶
[00:09:27.500 --> 00:09:28.500]  影響到我的權利
[00:09:28.500 --> 00:09:29.700]  你看8億元
[00:09:29.700 --> 00:09:31.000]  我們先不要講8億多少
[00:09:31.000 --> 00:09:33.100]  8億如果以20%的
[00:09:33.100 --> 00:09:35.100]  這個一產稅來看
[00:09:35.100 --> 00:09:36.200]  8864
[00:09:36.200 --> 00:09:37.900]  6億4千萬
[00:09:37.900 --> 00:09:39.700]  那如果他以9個人來分
[00:09:39.700 --> 00:09:40.700]  跟10個人來分
[00:09:40.700 --> 00:09:41.700]  價格就差很多
[00:09:41.700 --> 00:09:42.800]  就差幾百萬
[00:09:42.800 --> 00:09:44.100]  所以他就有法律上
[00:09:44.100 --> 00:09:45.100]  厲害關係
[00:09:45.100 --> 00:09:46.500]  但舉例來說
[00:09:46.500 --> 00:09:47.900]  今天5億高中生
[00:09:47.900 --> 00:09:49.900]  案當年這個下男
[00:09:49.900 --> 00:09:50.800]  婚姻被判無效
[00:09:50.800 --> 00:09:51.900]  所以關鍵在什麼
[00:09:51.900 --> 00:09:53.600]  當時欠缺貼婚政
[00:09:53.600 --> 00:09:55.400]  所以今天結婚
[00:09:55.400 --> 00:09:56.400]  有沒有結婚爭議
[00:09:56.400 --> 00:09:57.600]  是個重要的點
[00:09:57.600 --> 00:09:59.000]  那誰可以告原則上
[00:09:59.000 --> 00:10:00.800]  是本人可以告
[00:10:00.800 --> 00:10:01.800]  跟厲害的關係
[00:10:01.800 --> 00:10:02.600]  人才可以告
[00:10:02.600 --> 00:10:04.000]  他不是每個人都可以告的
[00:10:04.000 --> 00:10:05.000]  那現在兄弟姐妹
[00:10:05.000 --> 00:10:06.000]  還可以怎麼做
[00:10:06.000 --> 00:10:07.000]  所以就是要收集
[00:10:07.000 --> 00:10:08.400]  父親機成狀況
[00:10:08.400 --> 00:10:09.100]  客觀證據
[00:10:09.100 --> 00:10:11.100]  就是他在這段時間
[00:10:11.100 --> 00:10:13.300]  因為他紀念年初結婚了
[00:10:13.300 --> 00:10:14.600]  所以去年年底
[00:10:14.600 --> 00:10:15.900]  跟現在狀況
[00:10:15.900 --> 00:10:18.100]  是看起來這爸爸的紀念狀況
[00:10:18.100 --> 00:10:19.300]  是如何
[00:10:19.300 --> 00:10:20.100]  那要有一個診斷
[00:10:20.100 --> 00:10:21.000]  說因為醫生
[00:10:21.000 --> 00:10:22.600]  可能會有一些診斷狀況
[00:10:22.600 --> 00:10:24.900]  那還有向結婚證人
[00:10:24.900 --> 00:10:27.200]  與在場人員了解當時的狀況
[00:10:27.200 --> 00:10:28.600]  當時的回答狀況
[00:10:28.600 --> 00:10:29.600]  很清楚嗎
[00:10:29.600 --> 00:10:30.800]  還是不清楚
[00:10:30.800 --> 00:10:33.400]  然後由父親本人提告
[00:10:33.400 --> 00:10:34.600]  如果父親他可以表達
[00:10:34.600 --> 00:10:37.300]  那就父親用父親的名字提告
[00:10:37.300 --> 00:10:38.500]  提告說這個
[00:10:38.500 --> 00:10:40.600]  婚姻無效的訴訟
[00:10:40.600 --> 00:10:41.800]  那麼當然
[00:10:41.800 --> 00:10:43.000]  還有評估
[00:10:43.000 --> 00:10:44.000]  是不是對父親生意
[00:10:44.000 --> 00:10:44.600]  監護全告
[00:10:44.600 --> 00:10:45.600]  如果今天父親真的
[00:10:45.600 --> 00:10:46.900]  事件沒有辦法做處理
[00:10:46.900 --> 00:10:48.100]  那你監護人
[00:10:48.100 --> 00:10:49.800]  也可以代替他做一些事情
[00:10:49.800 --> 00:10:51.000]  其實是訴訟的
[00:10:51.000 --> 00:10:51.800]  好 這是子女
[00:10:51.800 --> 00:10:53.200]  能不能主張父親的回應
[00:10:53.200 --> 00:10:54.600]  我們小孩有剛剛講到
[00:10:54.600 --> 00:10:57.400]  因為其中有三分之一的財產
[00:10:57.400 --> 00:10:58.800]  都已經過給看護了
[00:10:58.800 --> 00:11:00.100]  子女人的藥回來
[00:11:00.100 --> 00:11:01.000]  這個這樣
[00:11:01.000 --> 00:11:02.400]  正與財產
[00:11:02.400 --> 00:11:04.400]  其實已經成為事實
[00:11:04.400 --> 00:11:05.800]  他正與土地跟假設
[00:11:05.800 --> 00:11:06.600]  我們要看一下
[00:11:06.600 --> 00:11:08.200]  他說保險要把區分的
[00:11:08.200 --> 00:11:09.800]  兩種方式來看
[00:11:09.800 --> 00:11:11.600]  土地跟變跟保單藥保人
[00:11:11.600 --> 00:11:13.000]  他是一種正與的方式
[00:11:13.000 --> 00:11:14.500]  我今天藥保人改變
[00:11:14.500 --> 00:11:16.000]  是一種正與方式
[00:11:16.000 --> 00:11:17.400]  因為過護是事實
[00:11:17.400 --> 00:11:18.400]  除非有法定理由
[00:11:18.400 --> 00:11:19.200]  不然的話
[00:11:19.200 --> 00:11:21.400]  要取回的程度
[00:11:21.400 --> 00:11:22.600]  很不容易
[00:11:22.600 --> 00:11:26.000]  但如果當時這個保險的處理是
[00:11:26.000 --> 00:11:28.600]  他只是並跟人受保險收益人
[00:11:28.600 --> 00:11:29.600]  這情況下
[00:11:29.600 --> 00:11:32.600]  他就爸爸趕快再變回來就好
[00:11:32.600 --> 00:11:33.800]  變回給孩子就好
[00:11:33.800 --> 00:11:35.800]  所以已經正與財產
[00:11:35.800 --> 00:11:37.800]  如果只是保險人受保險
[00:11:37.800 --> 00:11:38.800]  受人並跟其實是一個
[00:11:38.800 --> 00:11:40.800]  很好的一個方式
[00:11:40.800 --> 00:11:42.200]  也不會於說
[00:11:42.200 --> 00:11:43.800]  他如果不是要保單
[00:11:43.800 --> 00:11:44.800]  藥保人變更的話
