# 逐字稿 - moneyline_20260206_part2
# 來源網址: https://www.youtube.com/watch?v=c_z9nnTywes
# 轉換日期: 2026-02-07 14:06:40
# Whisper 模型: base

================================================================================


[00:00:00.000 --> 00:00:06.960]  我們剛剛錄節目一開始的時候
[00:05:21.520 --> 00:05:23.880]  剛好昨天也公布那個
[00:05:23.880 --> 00:05:25.960]  這個職位空缺數
[00:05:25.960 --> 00:05:27.840]  職位空缺數也是大幅的下降
[00:05:27.840 --> 00:05:30.800]  大概只剩下600多萬的空缺
[00:05:30.800 --> 00:05:32.720]  以前都是最高都是800多萬
[00:05:32.720 --> 00:05:33.520]  700多萬
[00:05:33.520 --> 00:05:34.440]  現在只剩600多萬
[00:05:34.440 --> 00:05:37.040]  數字越小就代表上上沒有在招聘
[00:05:37.040 --> 00:05:38.440]  那這件事情代表什麼意思呢
[00:05:38.440 --> 00:05:41.440]  代表美國經濟開始要衰退
[00:05:41.440 --> 00:05:43.040]  那如果美國經濟衰退
[00:05:43.040 --> 00:05:44.400]  我以前講過很多遍了
[00:05:44.400 --> 00:05:45.520]  常在職利率看的
[00:05:45.520 --> 00:05:47.920]  就是通歐膨脹跟美國經濟的成長
[00:05:47.920 --> 00:05:49.400]  如果今天美國經濟要走
[00:05:49.400 --> 00:05:50.280]  衰退這一條路
[00:05:50.280 --> 00:05:52.560]  現在開始假設華爾街的定
[00:05:52.560 --> 00:05:54.080]  這個敘事是在講說
[00:05:54.080 --> 00:05:55.320]  美國經濟要衰的話
[00:05:55.320 --> 00:05:56.560]  那我剛才講的這一條路
[00:05:56.560 --> 00:05:58.120]  就反而會發發生
[00:05:58.120 --> 00:05:59.720]  所以你去看實電器公開職率
[00:05:59.720 --> 00:06:01.600]  昨天大聲
[00:06:01.600 --> 00:06:05.520]  我實電器公開職率昨天大跌
[00:06:05.520 --> 00:06:06.560]  這個是
[00:06:06.560 --> 00:06:09.480]  對 綠色的是指綠綠紅色的是價格
[00:06:09.480 --> 00:06:11.400]  本來是這樣子突然掉下來有沒有
[00:06:11.400 --> 00:06:12.800]  這叫衰退交易
[00:06:12.800 --> 00:06:13.920]  所以大家瞭解
[00:06:13.920 --> 00:06:16.480]  你一定要知道金融市場順席萬變
[00:06:16.480 --> 00:06:18.440]  不管賬或跌你要知道原因
[00:06:18.440 --> 00:06:19.640]  現在的美國股市
[00:06:19.640 --> 00:06:20.440]  他在跌什麼
[00:06:20.440 --> 00:06:22.520]  他在跌美國經濟可能沒有想像
[00:06:22.520 --> 00:06:23.040]  那麼好
[00:06:23.040 --> 00:06:24.040]  甚至要要衰退
[00:06:24.040 --> 00:06:25.040]  那衰退的話呢
[00:06:25.040 --> 00:06:26.280]  那當然指綠綠
[00:06:26.280 --> 00:06:27.400]  指綠綠就下降了
[00:06:27.400 --> 00:06:27.960]  是
[00:06:27.960 --> 00:06:29.080]  好 指綠下降的話
[00:06:29.080 --> 00:06:30.280]  對債券反而好
[00:06:30.280 --> 00:06:31.960]  所以這一條說
[00:06:31.960 --> 00:06:33.760]  從現在4.3要到5%
[00:06:33.760 --> 00:06:36.320]  我覺得這個可能是下半年以後再看
[00:06:36.320 --> 00:06:39.240]  但是好 上半年反而是4.3
[00:06:39.240 --> 00:06:40.760]  有可能數字會變小
[00:06:40.760 --> 00:06:42.280]  也就是說債券反而會算起來
[00:06:42.280 --> 00:06:44.000]  所以今年上半年必顯
[00:06:44.000 --> 00:06:45.640]  就是債券還是有他必顯的功能
[00:06:45.640 --> 00:06:47.280]  對 我覺得債券會有必顯的功能
[00:06:47.280 --> 00:06:49.480]  這個可能跟上禮拜之前
[00:06:49.480 --> 00:06:51.280]  市場上的想法完全不一樣
[00:06:51.280 --> 00:06:52.680]  所以這個這一點要知道
[00:06:52.680 --> 00:06:53.520]  然後再來我們來講
[00:06:53.520 --> 00:06:54.160]  這一種債券
[00:06:54.160 --> 00:06:55.320]  這個講的債券
[00:06:55.320 --> 00:06:57.000]  上面這個是公債
[00:06:57.000 --> 00:06:59.160]  這個是講公司債
[00:06:59.160 --> 00:07:00.920]  譬如說蘋果發了公司債
[00:07:00.920 --> 00:07:02.520]  假股能發了公司債
[00:07:02.520 --> 00:07:04.200]  微軟發了公司債
[00:07:04.200 --> 00:07:06.760]  他說公司債已經不再是避風感
[00:07:06.760 --> 00:07:07.920]  因為大家要知道
[00:07:07.920 --> 00:07:10.840]  過去譬如說過去了這個2025年
[00:07:10.840 --> 00:07:13.080]  你知道美國新增的公司債
[00:07:13.080 --> 00:07:14.320]  有多少規模嗎
[00:07:14.320 --> 00:07:17.000]  2.3兆美元
[00:07:17.000 --> 00:07:18.680]  發行量 新發行量那麼大
[00:07:18.680 --> 00:07:20.640]  所以他是一個很大的市場
[00:07:20.640 --> 00:07:22.000]  那今年大概是這個數字
[00:07:22.000 --> 00:07:22.600]  甚至更高
[00:07:22.600 --> 00:07:24.600]  因為AI資本資助很高
[00:07:24.600 --> 00:07:27.240]  那以前的債券是有人發
[00:07:27.240 --> 00:07:28.840]  就大家搶著嗎
[00:07:28.840 --> 00:07:30.840]  因為相比於雖然沒有錯
[00:07:30.840 --> 00:07:33.840]  公司債的值利率會比較高一點
[00:07:33.840 --> 00:07:36.160]  對 會比美國公債高
[00:07:36.160 --> 00:07:37.440]  但是大家相對來講
[00:07:37.440 --> 00:07:39.960]  覺得美國這些大公司還蠻穩健
[00:07:39.960 --> 00:07:41.360]  所以你都很願意去買
[00:07:41.360 --> 00:07:43.680]  譬如說你會覺得蘋果的公司債
[00:07:43.680 --> 00:07:45.960]  可能還比美國國債還安全
[00:07:45.960 --> 00:07:47.960]  所以你會買美國蘋果的公司債
[00:07:47.960 --> 00:07:50.320]  但是到了今年完全不一樣
[00:07:50.320 --> 00:07:51.680]  債券不再是避風
[00:07:51.680 --> 00:07:52.480]  他的意思就是說
[00:07:52.480 --> 00:07:53.720]  現在很多公司債券
[00:07:53.720 --> 00:07:55.280]  譬如說舉加股人好了
[00:07:55.280 --> 00:07:56.880]  你先看加股人的股價
[00:07:56.880 --> 00:07:58.880]  歐爾克爾的股價
[00:07:58.880 --> 00:08:01.840]  他的股價已經跌到時間再長一點
[00:08:01.840 --> 00:08:03.240]  已經真的是地心探險
[00:08:03.240 --> 00:08:04.320]  也無法形容
[00:08:04.320 --> 00:08:06.480]  這個走勢跟比特幣很難像
[00:08:06.480 --> 00:08:07.640]  我的意思就是說
[00:08:07.640 --> 00:08:10.640]  如果當歐爾克爾的股價跌成這樣的時候
[00:08:10.640 --> 00:08:12.080]  他發了債券
[00:08:12.080 --> 00:08:13.280]  你會很擔心的
[00:08:13.280 --> 00:08:16.000]  你會發擔心他的長債能力的
[00:08:16.000 --> 00:08:17.240]  所以跳回來
[00:08:17.240 --> 00:08:18.760]  所以他的意思說債券
[00:08:18.760 --> 00:08:20.160]  因為高幹感的關係
[00:08:20.160 --> 00:08:22.240]  然後第一現金流
[00:08:22.240 --> 00:08:23.560]  這講的是假股人
[00:08:23.560 --> 00:08:24.920]  類似假股人這種公司
[00:08:24.920 --> 00:08:26.560]  就是我要花大錢再做資本
[00:08:26.560 --> 00:08:27.920]  這就是合我現金流
[00:08:27.920 --> 00:08:29.360]  甚至是富數的
[00:08:29.360 --> 00:08:31.800]  那這種公司企業風險就大真了
[00:08:31.800 --> 00:08:33.440]  你買他的公司在
[00:08:33.440 --> 00:08:35.040]  他可能活在零九你知道嗎
[00:08:35.040 --> 00:08:37.720]  所以你買的公司就很危險了
[00:08:37.720 --> 00:08:38.320]  那相反的
[00:08:38.320 --> 00:08:40.360]  還是說黃金跟財務體質
[00:08:40.360 --> 00:08:42.600]  比較加的股票會相對安全
[00:08:42.600 --> 00:08:44.160]  那這個是大家就是一個取誰
[00:08:44.160 --> 00:08:47.080]  就是說我們如果資金要找必顯商品
[00:08:47.080 --> 00:08:49.400]  有一陣子大家是以國債為必顯商品
[00:08:49.400 --> 00:08:50.400]  可是過去這一段時間
[00:08:50.400 --> 00:08:52.560]  我們看到美國國債不好
[00:08:52.560 --> 00:08:53.400]  日本國債不好
[00:08:53.400 --> 00:08:55.720]  所以大家跑去買優質企業的公司在
[00:08:55.720 --> 00:08:57.280]  可是現在連優質企業的公司在
[00:08:57.280 --> 00:08:58.480]  感覺上也不是這麼的案件
[00:08:58.480 --> 00:08:59.800]  這件事挺意願同嗎
[00:08:59.800 --> 00:09:00.560]  車座我認同
[00:09:00.560 --> 00:09:01.640]  這我非常認同
[00:09:01.640 --> 00:09:02.560]  好 再來我們來講
[00:09:02.560 --> 00:09:04.040]  這件事情就是說
[00:09:04.040 --> 00:09:05.800]  美國經濟過熱
[00:09:05.800 --> 00:09:07.760]  所以連總會會被迫升息
[00:09:07.760 --> 00:09:10.360]  我覺得這個可能性不高
[00:09:10.360 --> 00:09:11.600]  就像我剛剛已經講了
[00:09:11.600 --> 00:09:13.800]  現在華爾街的已經在交易
[00:09:13.800 --> 00:09:15.160]  這個經濟衰退了
[00:09:15.160 --> 00:09:16.800]  那怎麼還會經濟過熱
[00:09:16.800 --> 00:09:18.320]  我覺得經濟過熱已經很難
[00:09:18.320 --> 00:09:19.200]  為什麼這樣講
[00:09:19.200 --> 00:09:20.440]  去年其實2025年
[00:09:20.440 --> 00:09:22.600]  你去把美國經濟成長的數字
[00:09:22.600 --> 00:09:23.600]  攤開來
[00:09:23.600 --> 00:09:25.720]  其實消費沒有增加很多
[00:09:25.720 --> 00:09:28.200]  大部分是來自於AI基建的投資
[00:09:28.200 --> 00:09:29.960]  這個AI基建的投資
[00:09:29.960 --> 00:09:31.200]  因為大家知道經濟成長
[00:09:31.200 --> 00:09:32.840]  是年跟年去比
[00:09:32.840 --> 00:09:34.640]  那我既然去年2025年
[00:09:34.640 --> 00:09:36.240]  AI基建的投資就很大了
[00:09:36.240 --> 00:09:37.440]  今年會增加沒有說
[00:09:37.440 --> 00:09:39.280]  但是年跟年在比
[00:09:39.280 --> 00:09:40.800]  已經沒有增加那麼多了
[00:09:40.800 --> 00:09:42.600]  那如果我這個時候在搭配
[00:09:42.600 --> 00:09:44.800]  失業率升高
[00:09:44.800 --> 00:09:46.520]  導致消費下降的話
[00:09:46.520 --> 00:09:47.760]  其實經濟要大好
[00:09:47.760 --> 00:09:48.760]  我覺得非常難
[00:09:48.760 --> 00:09:50.720]  所以我這件事情我是不太認同
[00:09:50.720 --> 00:09:52.760]  然後他說GDP如果破山
[00:09:52.760 --> 00:09:53.640]  他你說經濟成長
[00:09:53.640 --> 00:09:54.960]  你要破山
[00:09:54.960 --> 00:09:56.800]  那工資會推動通棚
[00:09:56.800 --> 00:09:58.440]  我覺得通棚有機會推升
[00:09:58.440 --> 00:10:00.960]  但是不一定是工資增加的
[00:10:00.960 --> 00:10:02.000]  他你說經濟很好
[00:10:02.000 --> 00:10:03.240]  當然大家都加薪
[00:10:03.240 --> 00:10:04.080]  加薪以後呢
[00:10:04.080 --> 00:10:05.320]  這個通棚會上升
[00:10:05.320 --> 00:10:06.600]  我覺得這個不太容量
[00:10:06.600 --> 00:10:08.360]  所以你認同可能通棚會增
[00:10:08.360 --> 00:10:10.000]  但比如說是有價值的
[00:10:10.000 --> 00:10:11.200]  通棚有很多原因
[00:10:11.200 --> 00:10:12.760]  不一定是這個原因通棚
[00:10:12.760 --> 00:10:14.280]  通我們影響通棚的原因
[00:10:14.280 --> 00:10:15.240]  早七八個
[00:10:15.240 --> 00:10:16.600]  那工資增加
[00:10:16.600 --> 00:10:17.960]  當然是最好的通棚
[00:10:17.960 --> 00:10:19.640]  就是我因為我薪水
[00:10:19.640 --> 00:10:21.440]  最近多了五萬塊
[00:10:21.440 --> 00:10:23.920]  所以我消費就大手大腳花錢
[00:10:23.920 --> 00:10:25.640]  這種是大家最喜歡的通棚
[00:10:25.640 --> 00:10:27.280]  但我覺得不太會發生
[00:10:27.280 --> 00:10:28.720]  到下一個
[00:10:28.720 --> 00:10:29.480]  好 這裡講
[00:10:29.480 --> 00:10:30.280]  醫藥股
[00:10:30.280 --> 00:10:32.440]  醫藥股意外跑贏大盤
[00:10:32.440 --> 00:10:34.200]  大家都知道這個經濟成長
[00:10:34.200 --> 00:10:35.200]  我們在講的經濟成長
[00:10:35.200 --> 00:10:36.960]  我們喜歡的是他們科技業
[00:10:36.960 --> 00:10:38.800]  我們投資也都是跟這個有關
[00:10:38.800 --> 00:10:41.000]  醫藥股有一點就是有一點
[00:10:41.000 --> 00:10:44.400]  算是防禦性的以前
[00:10:44.400 --> 00:10:46.000]  好 朋友我們來看其他股票好了
[00:10:46.000 --> 00:10:47.440]  最近的醫藥股表現不錯
[00:10:47.440 --> 00:10:49.440]  我們能看那個理來
[00:10:49.440 --> 00:10:51.200]  所以這個跟經濟成長沒有關係
[00:10:51.200 --> 00:10:52.440]  所以我們說這是防禦性的
[00:10:52.440 --> 00:10:54.040]  或是我們來看一下交生
[00:10:54.040 --> 00:10:55.640]  交生的股價
[00:10:55.640 --> 00:10:56.640]  越運走越高
[00:10:56.640 --> 00:10:59.040]  會越要長
[00:10:59.040 --> 00:11:00.440]  時間長一點
[00:11:00.440 --> 00:11:02.440]  這算是很穩健
[00:11:02.440 --> 00:11:03.840]  這個是聯合健康
[00:11:03.840 --> 00:11:05.960]  聯合健康會股價下跌
[00:11:05.960 --> 00:11:08.040]  你說聯合健康之前
[00:11:08.040 --> 00:11:09.240]  這一段是什麼
[00:11:09.240 --> 00:11:10.600]  巴菲特的那個波克
[00:11:10.600 --> 00:11:12.000]  下游去買聯合健康
[00:11:12.000 --> 00:11:13.320]  所以他長了這一段
[00:11:13.320 --> 00:11:14.480]  可是為什麼最近下跌呢
[00:11:14.480 --> 00:11:15.240]  聯合健康
[00:11:15.240 --> 00:11:18.440]  大家都知道這個是醫療保險機構
[00:11:18.440 --> 00:11:20.680]  那因為川普體序民意
[00:11:20.680 --> 00:11:21.720]  他希望那美國老百姓
[00:11:21.720 --> 00:11:22.680]  負擔比較那麼重
[00:11:22.680 --> 00:11:24.400]  所以他是反的砍
[00:11:24.400 --> 00:11:25.600]  砍就是美國政府
[00:11:25.600 --> 00:11:27.800]  給這些醫療保險機構的預算
[00:11:27.800 --> 00:11:29.200]  所以股價反的下跌
[00:11:29.200 --> 00:11:30.440]  但我剛才講的前面那幾個
[00:11:30.440 --> 00:11:31.320]  大家可以注意
[00:11:31.320 --> 00:11:32.600]  我們來看一下
[00:11:32.600 --> 00:11:33.440]  他講的意思說
[00:11:33.440 --> 00:11:34.840]  美國股市的表現
[00:11:34.840 --> 00:11:36.480]  可能落後全球市場
[00:11:36.480 --> 00:11:37.760]  這國認同
[00:11:37.760 --> 00:11:39.160]  其實現在就是了
[00:11:39.160 --> 00:11:40.200]  你看那個納斯達克
[00:11:40.200 --> 00:11:41.760]  跟我們台北股市能比
[00:11:41.760 --> 00:11:42.600]  去年也是
[00:11:42.600 --> 00:11:44.000]  他們股市打七十幾盤
[00:11:44.000 --> 00:11:45.880]  對 納斯達克可以跟韓國股市比
[00:11:45.880 --> 00:11:47.880]  所以美國股市的表現
[00:11:47.880 --> 00:11:48.880]  可能落後全球市場
[00:11:48.880 --> 00:11:50.480]  其實最近都是
[00:11:50.480 --> 00:11:54.080]  包括韓國 日本 台灣 都輸
[00:11:54.080 --> 00:11:55.680]  對 所以大家注意
[00:11:55.680 --> 00:11:57.520]  就是非美市場可能會稍微好一點
[00:11:57.520 --> 00:12:00.120]  因為美元相對來講壓力比較重
[00:12:00.120 --> 00:12:02.280]  所以資金很有可能往非美國家跑
[00:12:02.280 --> 00:12:04.280]  那再來就扯到這個美元
[00:12:04.280 --> 00:12:05.680]  美元持續走入
[00:12:05.680 --> 00:12:07.360]  可是我覺得這件事情
[00:12:07.360 --> 00:12:08.560]  有帶上去
[00:12:08.560 --> 00:12:10.360]  因為現在換了一個新的聯準會主席
[00:12:10.360 --> 00:12:12.880]  而且是稍微偏陰派的
[00:12:12.880 --> 00:12:14.400]  我記得一個禮拜前我來的時候
[00:12:14.400 --> 00:12:16.760]  那個時候是剛好要宣佈
[00:12:16.760 --> 00:12:18.440]  然後那個時候華許
[00:12:18.440 --> 00:12:20.040]  那我們的想法只是說
[00:12:20.040 --> 00:12:21.840]  華許過去給人家的經驗就是說
[00:12:21.840 --> 00:12:24.480]  他非常反對量化寬鬆
[00:12:24.480 --> 00:12:26.440]  他非常反對聯準會
[00:12:26.440 --> 00:12:28.520]  就是方式是用量化寬鬆的方式
