# 逐字稿 - moneyline_20260206_part3
# 來源網址: https://www.youtube.com/watch?v=ANr_5fVfhGc
# 轉換日期: 2026-02-07 14:08:31
# Whisper 模型: base

================================================================================


[00:00:00.000 --> 00:00:06.000]  好 如果您正在看電視的同一時間
[00:02:37.960 --> 00:02:40.920]  他再捲價格就會受到一定壓抑
[00:02:40.920 --> 00:02:43.080]  但我個人覺得這個還比較吃藥
[00:02:43.080 --> 00:02:44.680]  比較麻煩的是這個
[00:02:44.680 --> 00:02:47.000]  就是敲敲板效應
[00:02:47.000 --> 00:02:48.680]  結論就是股市太強
[00:02:48.680 --> 00:02:50.200]  就沒什麼要買在
[00:02:50.200 --> 00:02:51.680]  那這個概念就是
[00:02:51.680 --> 00:02:53.680]  這個是從這個二四十年
[00:02:53.680 --> 00:02:55.960]  我們給大家看這個藍色的縣市
[00:02:55.960 --> 00:02:57.360]  連總會的利率
[00:02:57.360 --> 00:03:00.160]  這往下跑就是所謂的降息
[00:03:00.160 --> 00:03:01.200]  記得一件事情
[00:03:01.200 --> 00:03:04.160]  灰色的是所謂的公債的ETF
[00:03:04.160 --> 00:03:07.080]  我們抓美國比較代表新的給大家看
[00:03:07.080 --> 00:03:09.160]  如果照理講降息的過程當中
[00:03:09.160 --> 00:03:11.320]  這灰色應該是要往上走的
[00:03:11.320 --> 00:03:13.200]  對 就沒有不斷往下走
[00:03:13.200 --> 00:03:15.600]  為什麼 因為股市不斷走高
[00:03:15.600 --> 00:03:18.920]  橘色的是SF-500的ETF
[00:03:18.920 --> 00:03:20.880]  這上一次是這樣 中間不降息
[00:03:20.880 --> 00:03:22.200]  後面再降息
[00:03:22.200 --> 00:03:23.760]  有沒有激烈一點點
[00:03:23.760 --> 00:03:24.920]  非常 得說再一圈
[00:03:24.920 --> 00:03:26.840]  被激烈的效果很有限
[00:03:26.840 --> 00:03:28.160]  後面再繼續降
[00:03:28.160 --> 00:03:29.400]  他也不漲了
[00:03:29.400 --> 00:03:30.360]  股市太強了
[00:03:30.360 --> 00:03:31.680]  對 股市太強
[00:03:31.680 --> 00:03:32.600]  我常常講
[00:03:32.600 --> 00:03:35.760]  這個變成我們客本學的完全被打破
[00:03:35.760 --> 00:03:36.600]  因為客本就告訴你
[00:03:36.600 --> 00:03:38.520]  這往下就一定會往上
[00:03:38.520 --> 00:03:39.760]  但是一直都不往上
[00:03:39.760 --> 00:03:41.920]  因為我後來發現這就是人性
[00:03:41.920 --> 00:03:44.800]  當你現在手上有十萬塊要買的時候
[00:03:44.800 --> 00:03:46.280]  人家給你 要降息
[00:03:46.280 --> 00:03:47.160]  這個會漲
[00:03:47.160 --> 00:03:48.520]  可是你看到這一直創高
[00:03:48.520 --> 00:03:49.800]  你會受不了
[00:03:49.800 --> 00:03:51.360]  我們正常客本在教室
[00:03:51.360 --> 00:03:52.840]  是一個正常的局勢
[00:03:52.840 --> 00:03:54.680]  但是因為這幾年因為有AI
[00:03:54.680 --> 00:03:57.080]  導致股市太過強勁
[00:03:57.080 --> 00:03:58.080]  那就會導致
[00:03:58.080 --> 00:03:59.040]  當你要投的時候
[00:03:59.040 --> 00:03:59.880]  你會覺得
[00:03:59.880 --> 00:04:02.080]  這邊雖然說有機會賺錢
[00:04:02.080 --> 00:04:03.520]  可是人家會賺大錢
[00:04:03.520 --> 00:04:05.880]  這就像現在你教投證說
[00:04:05.880 --> 00:04:06.880]  記憶體有危險
[00:04:06.880 --> 00:04:07.960]  可是會波動大
[00:04:07.960 --> 00:04:09.360]  就是有人要往內衝
[00:04:09.360 --> 00:04:10.000]  那概念
[00:04:10.000 --> 00:04:10.960]  所以會導致
[00:04:10.960 --> 00:04:12.120]  結論就是跟大家講
[00:04:12.120 --> 00:04:13.360]  確實目前的角度
[00:04:13.360 --> 00:04:15.080]  在在院市場相對來講
[00:04:15.080 --> 00:04:16.440]  就是會比較低於
[00:04:16.440 --> 00:04:18.160]  除非你剛剛提到
[00:04:18.160 --> 00:04:20.080]  你比如說舉的例子
[00:04:20.080 --> 00:04:21.440]  標符百股市
[00:04:21.440 --> 00:04:22.920]  股市一往下衝
[00:04:22.920 --> 00:04:24.320]  在院就上來了
[00:04:24.320 --> 00:04:26.760]  所以現在的在院投資人
[00:04:26.760 --> 00:04:27.640]  我一直常常講
[00:04:27.640 --> 00:04:29.640]  他有點必顯的效益
[00:04:29.640 --> 00:04:31.320]  你股等於說股的部分
[00:04:31.320 --> 00:04:32.080]  買比較多
[00:04:32.080 --> 00:04:33.360]  你就有一些在
[00:04:33.360 --> 00:04:34.320]  那這些要幹什麼
[00:04:34.320 --> 00:04:36.880]  就是零股在席為主
[00:04:36.880 --> 00:04:37.760]  但是那個好處
[00:04:37.760 --> 00:04:39.520]  當你的股市一下來
[00:04:39.520 --> 00:04:41.200]  他價格就上去了
[00:04:41.200 --> 00:04:42.920]  好 如果在今年
[00:04:42.920 --> 00:04:45.720]  聯準會還是走一個降息循環
[00:04:45.720 --> 00:04:48.520]  如果在今年還是會走這個趨勢
[00:04:48.520 --> 00:04:49.720]  股市應該還是成為
[00:04:49.720 --> 00:04:51.000]  大家資金最主的角點
[00:04:51.000 --> 00:04:51.720]  對 目前看起來
[00:04:51.720 --> 00:04:52.800]  這個價格不會再改變
[00:04:52.800 --> 00:04:53.480]  怎麼追呢
[00:04:53.480 --> 00:04:55.360]  好 我們這個跟大家講
[00:04:55.360 --> 00:04:57.000]  這個要怎麼說
[00:04:57.000 --> 00:04:58.400]  我們剛剛提到
[00:04:58.400 --> 00:04:59.400]  發了五百多億
[00:04:59.400 --> 00:05:01.520]  到底會有什麼這樣的價格
[00:05:01.520 --> 00:05:02.920]  我們就跟大家提到
[00:05:02.920 --> 00:05:04.440]  有一個很重要的關鍵點
[00:05:04.440 --> 00:05:06.000]  就是我們先講到
[00:05:06.000 --> 00:05:07.920]  因為好處就是在今年以來
[00:05:07.920 --> 00:05:09.000]  大家的這個
[00:05:09.000 --> 00:05:11.520]  說了投資報酬率都不錯
[00:05:11.520 --> 00:05:14.880]  當到底後續要買什麼樣的價格
[00:05:14.880 --> 00:05:16.720]  我們重點就是
[00:05:16.720 --> 00:05:18.520]  剛剛提及的這個表現比較不好
[00:05:18.520 --> 00:05:20.240]  原因是因為風險高
[00:05:20.240 --> 00:05:22.120]  他的報酬率就會越來越高
[00:05:22.120 --> 00:05:22.880]  對不對
[00:05:22.880 --> 00:05:24.520]  然後這些人就要搞出
[00:05:24.520 --> 00:05:26.120]  這邊拿到的這個資金
[00:05:26.120 --> 00:05:27.800]  又比較容易再投入
[00:05:27.800 --> 00:05:29.320]  因為我們剛剛提到五百多億
[00:05:29.320 --> 00:05:29.920]  很多人講
[00:05:29.920 --> 00:05:31.040]  五百多億是人家
[00:05:31.040 --> 00:05:31.680]  賬目的錢
[00:05:31.680 --> 00:05:33.760]  不代表一定會進市場 對吧
[00:05:33.760 --> 00:05:34.800]  但是你要記憶先
[00:05:34.800 --> 00:05:36.840]  裡面還是有很多人願意
[00:05:36.840 --> 00:05:39.040]  拿這個股息再投資
[00:05:39.040 --> 00:05:40.160]  可是什麼樣的人
[00:05:40.160 --> 00:05:41.680]  會拿股息再投資
[00:05:41.680 --> 00:05:43.440]  如果我們就比較極端例子
[00:05:43.440 --> 00:05:45.080]  市執行確實就表現很好
[00:05:45.080 --> 00:05:45.360]  對不對
[00:05:45.360 --> 00:05:46.480]  你如果你買再捲
[00:05:46.480 --> 00:05:48.800]  現在買的都還有一點套在那裡
[00:05:48.800 --> 00:05:49.680]  你在加碼
[00:05:49.680 --> 00:05:51.680]  你會不會覺得有點不乾脆
[00:05:51.680 --> 00:05:53.160]  但是如果你賺錢的
[00:05:53.160 --> 00:05:54.200]  你就會加碼
[00:05:54.200 --> 00:05:55.160]  所以簡單來講
[00:05:55.160 --> 00:05:57.720]  當你他這種高報酬
[00:05:57.720 --> 00:05:58.520]  就是簡單來講
[00:05:58.520 --> 00:06:00.240]  他的這個股價表現好
[00:06:00.240 --> 00:06:01.760]  持有人就有信心
[00:06:01.760 --> 00:06:03.680]  有信心的人才會再投資
[00:06:03.680 --> 00:06:05.400]  所以你要盡量去選擇
[00:06:05.400 --> 00:06:08.000]  表現好的這些ETF
[00:06:08.000 --> 00:06:10.400]  他的資金才是比較容易回流
[00:06:10.400 --> 00:06:13.280]  然後就是因為你在投資了
[00:06:13.280 --> 00:06:15.680]  ETF的成本股就必須要加碼
[00:06:15.680 --> 00:06:18.120]  他無論成本股或ETF的股價
[00:06:18.120 --> 00:06:18.760]  就會推高
[00:06:18.760 --> 00:06:20.520]  所以這是一個良性懸吻
[00:06:20.520 --> 00:06:22.240]  簡單來講就是強折很強
[00:06:22.240 --> 00:06:24.320]  長越多的ETF就越容易長
[00:06:24.320 --> 00:06:26.040]  他的成本股就越容易長
[00:06:26.040 --> 00:06:27.080]  這個概念
[00:06:27.080 --> 00:06:29.160]  到底會長什麼樣子
[00:06:29.160 --> 00:06:32.280]  其實這個我們就抓這幾個
[00:06:32.280 --> 00:06:33.800]  這個所謂的區分
[00:06:33.800 --> 00:06:34.960]  刷代表性
[00:06:34.960 --> 00:06:36.280]  我們都直接抓市值
[00:06:36.280 --> 00:06:38.240]  最大的ETF給大家看
[00:06:38.240 --> 00:06:39.840]  今年以來的漲幅
[00:06:39.840 --> 00:06:42.200]  這個就是主動型在這裡
[00:06:42.200 --> 00:06:45.560]  然後這個是所謂的0050是市值型
[00:06:45.560 --> 00:06:47.680]  然後高股息可以每載
[00:06:47.680 --> 00:06:49.440]  你要發現落差之大
[00:06:49.440 --> 00:06:51.000]  到每載幾乎沒有表現
[00:06:51.000 --> 00:06:52.560]  高股息只有一點點
[00:06:52.560 --> 00:06:55.440]  正常現象應該是要主動型
[00:06:55.440 --> 00:06:57.840]  比這個市值型高
[00:06:57.840 --> 00:06:59.200]  但是最近
[00:06:59.200 --> 00:07:00.840]  沒辦法因為有一個
[00:07:00.840 --> 00:07:02.840]  在台競技能在做怪
[00:07:02.840 --> 00:07:04.360]  因為台競長太強了
[00:07:04.360 --> 00:07:06.040]  這個今年是2026年
[00:07:06.040 --> 00:07:07.280]  一月到現在
[00:07:07.280 --> 00:07:09.520]  0050已經長得快要一成了
[00:07:09.520 --> 00:07:11.920]  因為指數也長得快一成
[00:07:11.920 --> 00:07:13.320]  所以導致台積電
[00:07:13.320 --> 00:07:15.760]  簡單來講是台積電在拉的
[00:07:15.760 --> 00:07:17.800]  所以我們之前也看到新聞
[00:07:17.800 --> 00:07:20.200]  就是主動型的ETF
[00:07:20.200 --> 00:07:22.000]  他們想辦法再去買
[00:07:22.000 --> 00:07:22.560]  所以
[00:07:22.560 --> 00:07:24.200]  因為台積電已經買滿了
[00:07:24.200 --> 00:07:25.960]  對 他不規定已經買滿
[00:07:25.960 --> 00:07:27.400]  所以他就是買ETF
[00:07:27.400 --> 00:07:29.200]  想辦法再也有更多的台積電
[00:07:29.200 --> 00:07:30.440]  買台積電有的ETF
[00:07:30.440 --> 00:07:31.200]  對
[00:07:31.200 --> 00:07:32.600]  所以我那時候現在沒辦法
[00:07:32.600 --> 00:07:34.400]  這真的是一個很特例
[00:07:34.400 --> 00:07:35.440]  所以如果說
[00:07:35.440 --> 00:07:36.800]  就目前的時候這種
[00:07:36.800 --> 00:07:38.280]  我們之前就跟大家講
[00:07:38.280 --> 00:07:39.480]  就是這個邏輯
[00:07:39.480 --> 00:07:42.480]  就是說這往這裡的就是風險高的
[00:07:42.480 --> 00:07:43.920]  那因為最主要關鍵
[00:07:43.920 --> 00:07:45.120]  要記得一件事
[00:07:45.120 --> 00:07:46.720]  風險高容易賺錢
[00:07:46.720 --> 00:07:47.560]  但代表的
[00:07:47.560 --> 00:07:48.560]  如果出事的時候
[00:07:48.560 --> 00:07:49.560]  他們會跌最終
[00:07:49.560 --> 00:07:50.640]  一開始要先想好
[00:07:50.640 --> 00:07:52.120]  你不要認為說
[00:07:52.120 --> 00:07:53.320]  這邊永遠是最好
[00:07:53.320 --> 00:07:54.240]  我們答案沒有
[00:07:54.240 --> 00:07:54.840]  只是說
[00:07:54.840 --> 00:07:56.080]  因為現在是一個
[00:07:56.080 --> 00:07:58.080]  多頭的環境的情況下
[00:07:58.080 --> 00:07:59.840]  你可以多單一點風險
[00:07:59.840 --> 00:08:00.840]  那把握原則
[00:08:00.840 --> 00:08:02.400]  你也不用跳太多
[00:08:02.400 --> 00:08:03.120]  你也不用說
[00:08:03.120 --> 00:08:04.680]  這裡要直接買這個
[00:08:04.680 --> 00:08:05.920]  然後以前都在那邊
[00:08:05.920 --> 00:08:07.200]  不動突然飆起來
[00:08:07.200 --> 00:08:08.520]  然後上去很害羞
[00:08:08.520 --> 00:08:09.520]  你又受不了
[00:08:09.520 --> 00:08:10.560]  我會建議你最起碼
[00:08:10.560 --> 00:08:12.560]  往先往前跳一格
[00:08:12.560 --> 00:08:13.560]  就是說如果你再距離
[00:08:13.560 --> 00:08:14.960]  是不是應該往高股息
[00:08:14.960 --> 00:08:17.000]  高股息往四執行的移動
[00:08:17.000 --> 00:08:18.600]  你之前都買四執行
[00:08:18.600 --> 00:08:19.520]  你現在我就覺得
[00:08:19.520 --> 00:08:21.400]  你買主動行你是受得了的
[00:08:21.400 --> 00:08:22.720]  所以那個架構
[00:08:22.720 --> 00:08:23.520]  所以理論上
[00:08:23.520 --> 00:08:25.840]  我們就看到四執行的部分
[00:08:25.840 --> 00:08:27.160]  當然就是0050
[00:08:27.160 --> 00:08:28.360]  就是這一次
[00:08:28.360 --> 00:08:31.360]  他要發放金額150億
[00:08:31.360 --> 00:08:32.680]  然後也看到一年以來
[00:08:32.680 --> 00:08:34.080]  是要漲幅
[00:08:34.080 --> 00:08:35.320]  這個明明是一個ETF
[00:08:35.320 --> 00:08:37.040]  而一年漲幅有五成
[00:08:37.040 --> 00:08:38.840]  這也是非常不可思議
[00:08:38.840 --> 00:08:41.400]  另外這個我們講足提行的
[00:08:41.400 --> 00:08:44.000]  這個國泰00881
[00:08:44.000 --> 00:08:46.600]  他也是會發放61億
[00:08:46.600 --> 00:08:49.280]  這個一年的漲幅也達到四成
[00:08:49.280 --> 00:08:51.200]  另外是00830
[00:08:51.200 --> 00:08:53.240]  他這個可以看到也發了四期
[00:08:53.240 --> 00:08:56.040]  這三檔剛好算是
[00:08:56.040 --> 00:08:58.640]  這兩個區塊發放金額最高
[00:08:58.640 --> 00:08:59.800]  所以我們選擇來講
[00:08:59.800 --> 00:09:03.200]  就會選擇在前面撥動大的
[00:09:03.200 --> 00:09:05.200]  然後這個報索好
[00:09:05.200 --> 00:09:06.280]  第二還有一個問題
[00:09:06.280 --> 00:09:08.800]  就是他們發放資金比較多的
[00:09:08.800 --> 00:09:10.000]  這個好處就是
[00:09:10.000 --> 00:09:12.000]  他會持續推動他們的
[00:09:12.000 --> 00:09:13.640]  整個ETF的表現
[00:09:13.640 --> 00:09:15.600]  這些熱門的ETF
[00:09:15.600 --> 00:09:17.120]  除了有高機量之外
[00:09:17.120 --> 00:09:18.440]  哪一些熱門的成分
[00:09:18.440 --> 00:09:20.040]  五階上我們可以搭他的車
[00:09:20.040 --> 00:09:21.080]  因為剛剛提到
[00:09:21.080 --> 00:09:22.240]  我們就抓這幾檔
[00:09:22.240 --> 00:09:24.400]  第一他就是所謂表現好
[00:09:24.400 --> 00:09:26.280]  第二剛好配息多
[00:09:26.280 --> 00:09:27.880]  所以他資金進來之後
[00:09:27.880 --> 00:09:29.280]  他們這個經歷人
[00:09:29.280 --> 00:09:32.240]  也必須要再買相關的成分股
[00:09:32.240 --> 00:09:34.760]  那我們在這種年初的時候
[00:09:34.760 --> 00:09:35.680]  在選股
[00:09:35.680 --> 00:09:36.760]  這我自己
[00:09:36.760 --> 00:09:37.800]  因為我會覺得
[00:09:37.800 --> 00:09:39.400]  拉出來要記得一些人
[00:09:39.400 --> 00:09:40.360]  我們常常講
[00:09:40.360 --> 00:09:42.400]  這個是一個統計數字
[00:09:42.400 --> 00:09:43.240]  所以這個
[00:09:43.240 --> 00:09:44.760]  應該說以前常常會講到
[00:09:44.760 --> 00:09:47.040]  比如說投信在換股
[00:09:47.040 --> 00:09:48.840]  或者是即將發行的ETF
[00:09:48.840 --> 00:09:50.240]  想要去拆他的股票
[00:09:50.240 --> 00:09:51.680]  然後想要去吃豆腐
[00:09:51.680 --> 00:09:52.960]  這幾年越來越難
[00:09:52.960 --> 00:09:54.600]  因為他們這個方法
[00:09:54.600 --> 00:09:55.600]  的方法很多
[00:09:55.600 --> 00:09:58.320]  他們把成分股越拆越多隻
[00:09:58.320 --> 00:09:59.520]  然後加上說
[00:09:59.520 --> 00:10:01.280]  他們可以事先買
[00:10:01.280 --> 00:10:03.080]  他們可以不施先通知
[00:10:03.080 --> 00:10:03.640]  情況下
[00:10:03.640 --> 00:10:04.520]  我們這樣不到便宜
[00:10:04.520 --> 00:10:05.720]  越來越贊不到便宜
[00:10:05.720 --> 00:10:06.960]  所以一開始我告訴他
[00:10:06.960 --> 00:10:07.760]  這種邏輯
[00:10:07.760 --> 00:10:09.520]  不要一開始的修
[00:10:09.520 --> 00:10:10.600]  當然我覺得照理
[00:10:10.600 --> 00:10:12.400]  講他們資金進來會抬一下
[00:10:12.400 --> 00:10:13.400]  但記得一件事情
[00:10:13.400 --> 00:10:14.800]  把這個當作一個加分
[00:10:14.800 --> 00:10:16.000]  一向不要一進來
[00:10:16.000 --> 00:10:18.080]  只為了這個力度而進來
[00:10:18.080 --> 00:10:19.000]  你很容易最後
[00:10:19.000 --> 00:10:20.320]  你會失望的一台
[00:10:20.320 --> 00:10:21.920]  所以我剛剛這是一個加分
[00:10:21.920 --> 00:10:23.000]  所以一開始進來的時候
[00:10:23.000 --> 00:10:24.480]  你選股你要找到
[00:10:24.480 --> 00:10:27.440]  今年的EPS年政律是強的
[00:10:27.440 --> 00:10:28.960]  我在直接講白一點
[00:10:28.960 --> 00:10:30.320]  就是這些個股
[00:10:30.320 --> 00:10:31.880]  我們今天不要因為成分股
[00:10:31.880 --> 00:10:32.960]  不要因為資金進來
[00:10:32.960 --> 00:10:34.480]  這些個股本來就是可以買
[00:10:34.480 --> 00:10:35.480]  你就一開始投資價值
[00:10:35.480 --> 00:10:37.480]  對你本來就有投資價值
[00:10:37.480 --> 00:10:38.280]  這樣的價格
[00:10:38.280 --> 00:10:39.920]  在反過頭來
[00:10:39.920 --> 00:10:41.880]  我覺得是長線短線
[00:10:41.880 --> 00:10:44.120]  這些個股本來長線就有動能
[00:10:44.120 --> 00:10:46.120]  然後希望是在年
[00:10:46.120 --> 00:10:47.160]  等於過完年回來
[00:10:47.160 --> 00:10:48.280]  剛好資金進來
[00:10:48.280 --> 00:10:48.920]  前一進來
[00:10:48.920 --> 00:10:49.880]  加分領一個加分項
[00:10:49.880 --> 00:10:51.120]  看有沒有抬快一點
[00:10:51.120 --> 00:10:52.120]  用這樣的角度
[00:10:52.120 --> 00:10:53.960]  不要一開始就只想要坐在那邊
[00:10:53.960 --> 00:10:55.800]  被人家抬掉那個感覺
[00:10:55.800 --> 00:10:56.960]  這是關鍵點
[00:10:56.960 --> 00:10:58.760]  那當然這裡面的個股
[00:10:58.760 --> 00:11:00.160]  這個相對的研究
[00:11:00.160 --> 00:11:02.240]  有比較大的差異
[00:11:02.240 --> 00:11:03.640]  我們現在看到抬光一點
[00:11:03.640 --> 00:11:05.680]  它是0050的成分
[00:11:05.680 --> 00:11:06.880]  股價的一個走勢
[00:11:06.880 --> 00:11:08.520]  最近來講就非常強勢
[00:11:08.520 --> 00:11:10.920]  完全看不到最近執述拉回
[00:11:10.920 --> 00:11:12.720]  他今天曾經打下去
[00:11:12.720 --> 00:11:13.560]  用很快的上班
[00:11:13.560 --> 00:11:14.560]  全台灣第一檔
[00:11:14.560 --> 00:11:16.360]  公兩千塊錢的PCB龍
[00:11:16.360 --> 00:11:16.920]  對
[00:11:16.920 --> 00:11:19.080]  但是重點就是因為他龍頭
[00:11:19.080 --> 00:11:19.680]  而且人家
[00:11:19.680 --> 00:11:21.120]  你在回口看自卡
[00:11:21.120 --> 00:11:24.160]  確實他去年獲利這麼好
[00:11:24.160 --> 00:11:26.160]  今年還有辦法再成長五成
[00:11:26.160 --> 00:11:28.000]  這是很不可思議的數字
[00:11:28.000 --> 00:11:29.560]  另外看一下川湖
[00:11:29.560 --> 00:11:32.600]  他投資朋友一載哀好騙野
[00:11:32.600 --> 00:11:33.920]  股價這麼慘
[00:11:33.920 --> 00:11:36.200]  但是我覺得這個真的看人
[00:11:36.200 --> 00:11:38.280]  就我因為我個人角度
[00:11:38.280 --> 00:11:39.800]  技術現行我會尊重
[00:11:39.800 --> 00:11:40.920]  但我覺得理論上
[00:11:40.920 --> 00:11:42.640]  我覺得基本面更重要
[00:11:42.640 --> 00:11:44.520]  那所以他我覺得好處
[00:11:44.520 --> 00:11:46.080]  就是慢慢等待量所
[00:11:46.080 --> 00:11:47.520]  我還是不斷重生
[00:11:47.520 --> 00:11:49.920]  我自己對現行會看
[00:11:49.920 --> 00:11:52.720]  但是我不會因為他破線之後
[00:11:52.720 --> 00:11:54.360]  就覺得他是一個不對的股票
[00:11:54.360 --> 00:11:55.960]  我們再回頭看自卡
[00:11:55.960 --> 00:11:56.800]  錢他而言
[00:11:56.800 --> 00:11:58.400]  本意比非常的低
[00:11:58.400 --> 00:11:59.960]  今年的獲利高成長
[00:11:59.960 --> 00:12:02.160]  而且營收的部分還要創高
[00:12:02.160 --> 00:12:03.600]  我常常講的就是
[00:12:03.600 --> 00:12:05.640]  剛剛提到就是主人戴狗的問題
[00:12:05.640 --> 00:12:07.360]  他在基本面慢慢往前走
[00:12:07.360 --> 00:12:08.800]  他有時候會衝特別快
[00:12:08.800 --> 00:12:10.120]  的時候衝特別慢
[00:12:10.120 --> 00:12:11.920]  理論上你買在這種基本面
[00:12:11.920 --> 00:12:12.400]  很強
[00:12:12.400 --> 00:12:13.480]  當然股價如果的時候
[00:12:13.480 --> 00:12:15.200]  就常見投資很把的是一個
[00:12:15.200 --> 00:12:16.280]  很好的機會
[00:12:16.280 --> 00:12:17.600]  只是我剛剛提到
[00:12:17.600 --> 00:12:19.720]  這個你要賺大錢
[00:12:19.720 --> 00:12:21.120]  你必須要熬過那個
[00:12:21.120 --> 00:12:22.640]  買的時候人家講說
[00:12:22.640 --> 00:12:24.360]  這個股價怎麼那麼慘烈
[00:12:24.360 --> 00:12:25.560]  但是其實基本面
[00:12:25.560 --> 00:12:26.160]  還沒有錯
[00:12:26.160 --> 00:12:27.600]  我覺得反而是很好的
[00:12:27.600 --> 00:12:28.920]  這個投資方向
[00:12:28.920 --> 00:12:30.560]  另外我們也可以看一下建策
[00:12:30.560 --> 00:12:33.760]  因為我們剛剛前段的提到雙紅
