# 逐字稿 - moneyline_20260206_part1
# 來源網址: https://www.youtube.com/watch?v=kkPSkSs4WHg
# 轉換日期: 2026-02-07 14:11:10
# Whisper 模型: base

================================================================================


[00:00:00.000 --> 00:00:19.340]  歡迎收看前線百分百觀投晚安 我是劉柱華
[00:05:25.200 --> 00:05:27.300]  相反的只要談判OK
[00:05:27.300 --> 00:05:28.700]  順利了 那油價就會下來
[00:05:28.700 --> 00:05:30.100]  所以我覺得這個是觀察的指標
[00:05:30.100 --> 00:05:33.800]  OK 好 油價的確現在令人不敢大意
[00:05:33.800 --> 00:05:34.800]  不解 你覺得
[00:05:34.800 --> 00:05:36.500]  因為我們兩天都休息
[00:05:36.500 --> 00:05:37.400]  再來開三天
[00:05:37.400 --> 00:05:39.100]  我們要秀一個多禮拜
[00:05:39.100 --> 00:05:41.100]  這件事情會不會成為黑天額
[00:05:41.100 --> 00:05:42.500]  這個當然目前來看
[00:05:42.500 --> 00:05:44.400]  因為油價有慢慢墊高的跡象
[00:05:44.400 --> 00:05:47.100]  確實市場就有在反應了
[00:05:47.100 --> 00:05:48.100]  可是如果我們看到
[00:05:48.100 --> 00:05:50.700]  最近股市的波動的話
[00:05:50.700 --> 00:05:52.200]  我覺得伊朗問題
[00:05:52.200 --> 00:05:53.600]  其實是很微小的
[00:05:53.600 --> 00:05:55.100]  因為最近都是什麼
[00:05:55.100 --> 00:05:56.300]  美國的這個財報
[00:05:56.300 --> 00:05:57.200]  對
[00:05:57.200 --> 00:05:58.900]  然後財報完公佈譬如說
[00:05:58.900 --> 00:06:00.700]  資本支出 漲望
[00:06:00.700 --> 00:06:03.300]  大家就對這個東西有點疑慮
[00:06:03.300 --> 00:06:04.600]  是在跌這個嘛
[00:06:04.600 --> 00:06:06.100]  所以我覺得
[00:06:06.100 --> 00:06:07.500]  這個的因素可能
[00:06:07.500 --> 00:06:08.900]  如果你從全部看的話
[00:06:08.900 --> 00:06:10.300]  可能佔不到三層
[00:06:10.300 --> 00:06:11.900]  如果除非就是說
[00:06:11.900 --> 00:06:13.300]  真的飛彈射來射去
[00:06:13.300 --> 00:06:15.300]  然後不小心有
[00:06:15.300 --> 00:06:16.300]  對 插槍走火
[00:06:16.300 --> 00:06:17.800]  這樣可能才會是一個
[00:06:17.800 --> 00:06:18.800]  比較嚴重的黑天了
[00:06:18.800 --> 00:06:21.300]  OK 好 以前我們對於這個實體的戰爭
[00:06:21.300 --> 00:06:22.600]  在川普就任之前
[00:06:22.600 --> 00:06:23.800]  我們大家覺得這什麼年大了
[00:06:23.800 --> 00:06:24.700]  應該不可能
[00:06:24.700 --> 00:06:26.000]  但是現在川普就任
[00:06:26.000 --> 00:06:27.300]  好像沒有什麼不可能
[00:06:27.300 --> 00:06:28.300]  因為油價在漲
[00:06:28.300 --> 00:06:29.600]  敏翰怎麼看這件事情
[00:06:29.600 --> 00:06:31.100]  我覺得最重要還是未解
[00:06:31.100 --> 00:06:32.100]  因為畢竟是目前
[00:06:32.100 --> 00:06:34.100]  台股跟美股的未解相對比較高
[00:06:34.100 --> 00:06:34.800]  所以對這個
[00:06:34.800 --> 00:06:36.300]  我覺得多少會的滿意
[00:06:36.300 --> 00:06:37.600]  我覺得是理所當然
[00:06:37.600 --> 00:06:38.800]  但是要記得一件事
[00:06:38.800 --> 00:06:39.800]  常常投資的問我說
[00:06:39.800 --> 00:06:40.700]  像這種問題
[00:06:40.700 --> 00:06:42.000]  我說其實很簡單
[00:06:42.000 --> 00:06:43.000]  記得一件事情
[00:06:43.000 --> 00:06:44.500]  台股最大的市值超過
[00:06:44.500 --> 00:06:45.500]  市城市台積電
[00:06:45.500 --> 00:06:46.800]  發生這種事情的時候
[00:06:46.800 --> 00:06:48.500]  你自己想一下
[00:06:48.500 --> 00:06:50.400]  發生這事情到底台積電的訂單
[00:06:50.400 --> 00:06:51.100]  會不會掉
[00:06:51.100 --> 00:06:52.100]  其實老師說
[00:06:52.100 --> 00:06:53.600]  就過往這種地人政治
[00:06:53.600 --> 00:06:55.600]  真的跟台積電沒有太大的關係
[00:06:55.600 --> 00:06:56.300]  最後
[00:06:56.300 --> 00:06:57.400]  當然就我是
[00:06:57.400 --> 00:06:59.600]  就長線的趨勢操作者
[00:06:59.600 --> 00:07:00.800]  我常常最喜歡買的
[00:07:00.800 --> 00:07:02.600]  就是這種所謂地人政治問題
[00:07:02.600 --> 00:07:03.500]  通常會下去
[00:07:03.500 --> 00:07:05.000]  我當然不敢講一定是短線
[00:07:05.000 --> 00:07:07.200]  但是他政治因素的特色
[00:07:07.200 --> 00:07:07.900]  就是下去
[00:07:07.900 --> 00:07:09.100]  通常都是有幾個快
[00:07:09.100 --> 00:07:10.300]  大家感覺很恐慌
[00:07:10.300 --> 00:07:12.100]  但是他的空間都不會太大
[00:07:12.100 --> 00:07:13.800]  而且時間正當這一之後
[00:07:13.800 --> 00:07:15.200]  很快又會消化過去
[00:07:15.200 --> 00:07:16.200]  記得一件事情
[00:07:16.200 --> 00:07:17.200]  只要台積電的訂單
[00:07:17.200 --> 00:07:18.200]  沒有受到影響
[00:07:18.200 --> 00:07:20.200]  股市受到的空間都不會太大
[00:07:20.200 --> 00:07:21.000]  所以告訴我們
[00:07:21.000 --> 00:07:22.200]  在重大事情的時候
[00:07:22.200 --> 00:07:24.000]  好公司遇到了壞事情
[00:07:24.000 --> 00:07:25.600]  該採取什麼樣的姿態
[00:07:25.600 --> 00:07:27.100]  就如同冰淡所說的
[00:07:27.100 --> 00:07:28.600]  如果遇到了重大事情
[00:07:28.600 --> 00:07:30.600]  不影響台積電的訂單
[00:07:30.600 --> 00:07:31.300]  這裡我問你
[00:07:31.300 --> 00:07:33.700]  這件事情會影響當前
[00:07:33.700 --> 00:07:35.700]  就所謂長假概念股的趨勢
[00:07:35.700 --> 00:07:36.800]  怎麼看到這件事情
[00:07:36.800 --> 00:07:39.200]  對熱門的長假題材的影響
[00:07:39.200 --> 00:07:40.600]  長假題材來講如果說是
[00:07:40.600 --> 00:07:42.400]  跟AI的這個相關的一個個股
[00:07:42.400 --> 00:07:43.000]  來講的話
[00:07:43.000 --> 00:07:44.900]  其實判斷中場現實不會有影響
[00:07:44.900 --> 00:07:46.900]  而且其實過去這幾年的
[00:07:46.900 --> 00:07:48.400]  只要發生戰爭的事情
[00:07:48.400 --> 00:07:50.600]  其實股市的反應相對上蠻平淡的
[00:07:50.600 --> 00:07:52.400]  不過其實確實要擔心一件事情
[00:07:52.400 --> 00:07:54.600]  就是因為郵價卻在走高
[00:07:54.600 --> 00:07:56.000]  那昨天公告這個請你
[00:07:56.000 --> 00:07:56.900]  失業究竟你的數字
[00:07:56.900 --> 00:07:57.800]  其實也不是很好
[00:07:57.800 --> 00:07:59.100]  如果郵價走高
[00:07:59.100 --> 00:08:00.800]  然後現在的就業的狀況
[00:08:00.800 --> 00:08:01.900]  又不太好了話
[00:08:01.900 --> 00:08:03.400]  那臉準會會陷入兩難
[00:08:03.400 --> 00:08:04.560]  那我比較擔心是會
[00:08:04.560 --> 00:08:07.200]  演生成變成是個總經的一個問題
[00:08:07.200 --> 00:08:08.900]  臺部有人我們自己的地氣
[00:08:08.900 --> 00:08:10.700]  來郵價老師竟然上臺來
[00:08:10.700 --> 00:08:12.000]  我覺得我們時間近一點
[00:08:12.000 --> 00:08:14.000]  我覺得這個禮拜的行情瞄了
[00:08:14.000 --> 00:08:16.300]  這個禮拜一大跌的那一天
[00:08:16.300 --> 00:08:18.500]  打到了月線沒有碰到
[00:08:18.500 --> 00:08:19.600]  收了一個腳
[00:08:19.600 --> 00:08:23.000]  今天冠川月線很多
[00:08:23.000 --> 00:08:24.300]  也收了一個腳
[00:08:24.300 --> 00:08:27.200]  所以這個禮拜月線收盤的時候
[00:08:27.200 --> 00:08:28.600]  都沒有跌破
[00:08:28.600 --> 00:08:30.000]  這隻神秘之手
[00:08:30.000 --> 00:08:31.300]  你覺得他是誰
[00:08:31.300 --> 00:08:33.800]  以及他的盤算是什麼呢
[00:08:33.800 --> 00:08:34.800]  這個是誰
[00:08:34.800 --> 00:08:36.400]  目前看不太出來
[00:08:36.400 --> 00:08:39.900]  但知道的是比較偏向是在那隻這個區塊
[00:08:39.900 --> 00:08:41.200]  對 因為外資一直賣
[00:08:41.200 --> 00:08:42.000]  昨天賣時尚電池吧
[00:08:42.000 --> 00:08:42.900]  對對對
[00:08:42.900 --> 00:08:44.100]  其實我要講
[00:08:44.100 --> 00:08:45.700]  昨天賣那麼多的
[00:08:45.700 --> 00:08:46.900]  直接400多點
[00:08:46.900 --> 00:08:48.700]  而且其實看起來
[00:08:48.700 --> 00:08:50.400]  量也沒有很大的
[00:08:50.400 --> 00:08:51.000]  代表什麼
[00:08:51.000 --> 00:08:52.400]  臺股目前的流動性
[00:08:52.400 --> 00:08:53.900]  跟下檔的這個
[00:08:53.900 --> 00:08:57.900]  階層階的這個力道是大的
[00:08:57.900 --> 00:09:00.900]  所以今天打下去這個月線之下
[00:09:00.900 --> 00:09:02.300]  你看量也是又說
[00:09:02.300 --> 00:09:03.200]  代表什麼
[00:09:03.200 --> 00:09:06.200]  代表這邊雖然出完大量對不對
[00:09:06.200 --> 00:09:08.400]  可是這裡並沒有殺地的意願
[00:09:08.400 --> 00:09:09.200]  也就是說
[00:09:09.200 --> 00:09:11.200]  雖然大家看到目前這個大盤
[00:09:11.200 --> 00:09:13.000]  是在高檔正當的
[00:09:13.000 --> 00:09:14.900]  好像報股的信心
[00:09:14.900 --> 00:09:16.600]  要過年還是有的
[00:09:16.600 --> 00:09:17.600]  這到底是誰
[00:09:17.600 --> 00:09:18.600]  你看最近的量
[00:09:18.600 --> 00:09:19.800]  你說雖然說
[00:09:19.800 --> 00:09:20.800]  但每天也都不小
[00:09:20.800 --> 00:09:22.000]  有7千億8千億
[00:09:22.000 --> 00:09:24.800]  最近觀股滿滿多的
[00:09:24.800 --> 00:09:25.900]  那個八大觀股
[00:09:25.900 --> 00:09:27.900]  昨天我記得滿100多億
[00:09:27.900 --> 00:09:30.200]  所以這邊來看除了觀股
[00:09:30.200 --> 00:09:31.200]  受險之外
[00:09:31.200 --> 00:09:32.800]  當然可能還有其他的
[00:09:32.800 --> 00:09:34.400]  但就我所知
[00:09:34.400 --> 00:09:35.700]  譬如說我們看到餅種
[00:09:35.700 --> 00:09:36.600]  主力業內
[00:09:36.600 --> 00:09:37.800]  其實這幾天他反而
[00:09:37.800 --> 00:09:39.200]  反向他還是在賣潮的
[00:09:39.200 --> 00:09:40.500]  他也是在賣潮
[00:09:40.500 --> 00:09:41.400]  賣完了嗎
[00:09:41.400 --> 00:09:42.200]  這傑向賓
[00:09:42.200 --> 00:09:43.800]  差不多快賣完了
[00:09:43.800 --> 00:09:45.200]  最慢最慢
[00:09:45.200 --> 00:09:46.900]  禮拜一大概就賣完了
[00:09:46.900 --> 00:09:47.600]  二三
[00:09:47.600 --> 00:09:48.600]  禮拜二跟禮拜三
[00:09:48.600 --> 00:09:49.500]  尤其封關那天
[00:09:49.500 --> 00:09:50.500]  我反而覺得
[00:09:50.500 --> 00:09:51.500]  賣壓不會那麼大
[00:09:51.500 --> 00:09:53.300]  接下來主導盤市的
[00:09:53.300 --> 00:09:54.300]  變數有哪些
[00:09:54.300 --> 00:09:55.500]  現在主導盤市的變數
[00:09:55.500 --> 00:09:56.900]  全部都在美股了
[00:09:56.900 --> 00:09:58.800]  最近會震盪這麼大
[00:09:58.800 --> 00:10:01.400]  其實美股佔很大一個原因
[00:10:01.400 --> 00:10:02.600]  當然我們要過年
[00:10:02.600 --> 00:10:04.300]  然後之前股票長多
[00:10:04.300 --> 00:10:05.100]  那個是一個
[00:10:05.100 --> 00:10:06.600]  可是因為這幾天
[00:10:06.600 --> 00:10:08.000]  陸續我們從
[00:10:08.000 --> 00:10:08.500]  不要講什麼
[00:10:08.500 --> 00:10:09.300]  從基體
[00:10:09.300 --> 00:10:10.700]  你又看到很明顯
[00:10:10.700 --> 00:10:12.700]  人家就是在測前出來
[00:10:12.700 --> 00:10:14.000]  要準備過年好
[00:10:14.000 --> 00:10:15.300]  所以我們看到最近
[00:10:15.300 --> 00:10:17.500]  國際市場的資金大半風
[00:10:17.500 --> 00:10:19.000]  你看比特幣
[00:10:19.000 --> 00:10:20.100]  破了期溫
[00:10:20.100 --> 00:10:21.100]  今天已經盤熱了
[00:10:21.100 --> 00:10:22.300]  很6萬要破了
[00:10:22.300 --> 00:10:23.000]  對不對
[00:10:23.000 --> 00:10:24.500]  金價 銀價
[00:10:24.500 --> 00:10:26.600]  在這也大的銀價最離譜
[00:10:26.600 --> 00:10:28.300]  一度衝到一百二
[00:10:28.300 --> 00:10:29.500]  今天早上
[00:10:29.500 --> 00:10:30.600]  亞洲盤
[00:10:30.600 --> 00:10:33.600]  一度跌破60塊
[00:10:33.600 --> 00:10:35.200]  這個是極短線
[00:10:35.200 --> 00:10:36.800]  大概五六天而已
[00:10:36.800 --> 00:10:38.500]  跌幅是直接從高點下來
[00:10:38.500 --> 00:10:39.700]  是超過一半
[00:10:39.700 --> 00:10:40.500]  這個蠻離譜的
[00:10:40.500 --> 00:10:41.500]  也就是說
[00:10:41.500 --> 00:10:42.800]  這邊短線上
[00:10:42.800 --> 00:10:44.800]  大家看到滑雪的這個任命
[00:10:44.800 --> 00:10:46.600]  以及最近的一些這個
[00:10:46.600 --> 00:10:48.300]  美國的這個財報跟展望
[00:10:48.300 --> 00:10:49.700]  AI股的這個部分
[00:10:49.700 --> 00:10:50.700]  錢就開始在想
[00:10:50.700 --> 00:10:51.500]  長那麼多了
[00:10:51.500 --> 00:10:53.300]  我是先把錢搬出來
[00:10:53.300 --> 00:10:54.300]  這個跟這個
[00:10:54.300 --> 00:10:56.100]  這跟台灣關要過年
[00:10:56.100 --> 00:10:57.500]  要休息都沒有關係
[00:10:57.500 --> 00:11:00.300]  這兩個跟滑雪比較有關係
[00:11:00.300 --> 00:11:02.300]  這些稍前的大家會怕
[00:11:02.300 --> 00:11:05.700]  因為你看到他拿回來的現金流
[00:11:05.700 --> 00:11:06.800]  跟賺的錢
[00:11:06.800 --> 00:11:08.900]  比起他稍的錢稍很
[00:11:08.900 --> 00:11:10.900]  稍得非常的多
[00:11:10.900 --> 00:11:11.700]  那所以你看
[00:11:11.700 --> 00:11:13.900]  亞馬去盤頭重錯超過十八
[00:11:13.900 --> 00:11:15.700]  可是大家不要忘了
[00:11:15.700 --> 00:11:17.800]  昨天Google的財報出來
[00:11:17.800 --> 00:11:19.700]  Google雖然一度是跌七趴
[00:11:19.700 --> 00:11:20.700]  但後面是往上拉的
[00:11:20.700 --> 00:11:21.700]  是 拉你一個紅可以放
[00:11:21.700 --> 00:11:22.600]  這代表什麼意思
[00:11:22.600 --> 00:11:24.300]  代表說人家Google的
[00:11:24.300 --> 00:11:26.400]  就能不能來刪出來之後
[00:11:26.400 --> 00:11:27.800]  市場是看到
[00:11:27.800 --> 00:11:29.400]  這個錢雖然稍這麼多
[00:11:29.400 --> 00:11:31.400]  但是我拿得回來的
[00:11:31.400 --> 00:11:31.900]  我跟你講
[00:11:31.900 --> 00:11:33.400]  如果OP的那樣有掛牌
[00:11:33.400 --> 00:11:35.800]  最近跌最慘一定是他了
[00:11:35.800 --> 00:11:36.800]  因為他稍最多
[00:11:36.800 --> 00:11:37.700]  他稍最多
[00:11:37.700 --> 00:11:39.800]  然後拿回來錢最少
[00:11:39.800 --> 00:11:40.800]  那我說了
[00:11:40.800 --> 00:11:42.000]  美股的高機器
[00:11:42.000 --> 00:11:43.500]  下跌總是有鬼故事
[00:11:43.500 --> 00:11:45.200]  最近就通通都是鬼故事
[00:11:45.200 --> 00:11:46.400]  之前都是浪漫喜劇
[00:11:46.400 --> 00:11:47.500]  現在都是恐怖別人
[00:11:47.500 --> 00:11:49.000]  現在都是鬼故事
[00:11:49.000 --> 00:11:50.400]  這很正常就是說
[00:11:50.400 --> 00:11:52.400]  位置高的風吹草動
[00:11:52.400 --> 00:11:53.500]  大家就害怕
[00:11:53.500 --> 00:11:55.200]  所以我下個結論
[00:11:55.200 --> 00:11:56.800]  農曆年的錢後
[00:11:56.800 --> 00:11:57.900]  美股就是什麼
[00:11:57.900 --> 00:11:59.200]  掌多震盪
[00:11:59.200 --> 00:12:00.500]  整理的趨勢不必
[00:12:00.500 --> 00:12:01.200]  那台股呢
[00:12:01.200 --> 00:12:02.400]  台股
[00:12:02.400 --> 00:12:04.700]  因為最近的這個美人轉向台幣區別
[00:12:04.700 --> 00:12:06.400]  所以你不用指望
[00:12:06.400 --> 00:12:08.700]  外資會在風關前買什麼的
[00:12:08.700 --> 00:12:10.300]  因為他把他前面來
[00:12:10.300 --> 00:12:12.000]  我們上下這個大盤
[00:12:12.000 --> 00:12:13.700]  下面配個外資
[00:12:13.700 --> 00:12:15.700]  你就可以發現
[00:12:15.700 --> 00:12:17.200]  原本外資在這裡買來
[00:12:17.200 --> 00:12:18.600]  要洗碗了對不對
[00:12:18.600 --> 00:12:19.800]  結果一發現
[00:12:19.800 --> 00:12:21.000]  那個晚洗下去
[00:12:21.000 --> 00:12:22.500]  怎麼玩那麼多
[00:12:22.500 --> 00:12:24.600]  所以這裡趕快全部到出來
[00:12:24.600 --> 00:12:25.000]  有沒有
[00:12:25.000 --> 00:12:27.100]  他其實逃不到便宜
[00:12:27.100 --> 00:12:29.400]  他是真的是買在相對高點的位置
[00:12:29.400 --> 00:12:31.400]  但手腳也非常快
[00:12:31.400 --> 00:12:33.100]  你看現貨忙就到出來
[00:12:33.100 --> 00:12:34.200]  也就是說
[00:12:34.200 --> 00:12:36.000]  這裡你不用指望外資會買
[00:12:36.000 --> 00:12:37.400]  但是你要這樣想
[00:12:37.400 --> 00:12:39.400]  這一段拉這麼多上來
[00:12:39.400 --> 00:12:41.000]  全部都是內資的力量
[00:12:41.000 --> 00:12:42.000]  是
[00:12:42.000 --> 00:12:43.000]  這兩個神秘的線
[00:12:43.000 --> 00:12:43.500]  你現在是誰
